Running on local machine
Parent Run ID: AutoML_b024e735-25cf-4c67-9d89-9a68b9db1605

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0', Max_Horizon = '2'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:25       0.0833    0.0833
         1   MinMaxScaler DecisionTree                      0:00:23       0.0903    0.0833
         2   StandardScalerWrapper LassoLars                0:00:33       0.0986    0.0833
         3   RobustScaler ElasticNet                        0:00:23       0.1045    0.0833
         4   StandardScalerWrapper LassoLars                0:00:22       0.0986    0.0833
         5   RobustScaler ElasticNet                        0:00:22       0.1042    0.0833
         6   RobustScaler DecisionTree                      0:00:24       0.1003    0.0833
         7   MinMaxScaler DecisionTree                      0:00:22       0.0853    0.0833
         8   RobustScaler DecisionTree                      0:00:22       0.0948    0.0833
         9   MinMaxScaler DecisionTree                      0:00:22       0.0915    0.0833
        10   StandardScalerWrapper DecisionTree             0:00:16       0.0970    0.0833
        11   StandardScalerWrapper DecisionTree             0:00:21       0.0966    0.0833
        12   RobustScaler DecisionTree                      0:00:24       0.0806    0.0806
        13   RobustScaler ElasticNet                        0:00:22       0.1134    0.0806
        14   StandardScalerWrapper DecisionTree             0:00:22       0.0816    0.0806
        15   MinMaxScaler DecisionTree                      0:00:16       0.1015    0.0806
        16   MinMaxScaler DecisionTree                      0:00:16       0.1031    0.0806
        17   RobustScaler DecisionTree                      0:00:22       0.0914    0.0806
        18   RobustScaler DecisionTree                      0:00:21       0.0980    0.0806
        19   StandardScalerWrapper DecisionTree             0:00:21       0.0776    0.0776
        20   StandardScalerWrapper DecisionTree             0:00:23       0.1032    0.0776
        21   StandardScalerWrapper DecisionTree             0:00:23       0.0844    0.0776
        22   MinMaxScaler DecisionTree                      0:00:22       0.0978    0.0776
        23   MinMaxScaler DecisionTree                      0:00:22       0.0937    0.0776
        24   StandardScalerWrapper ExtremeRandomTrees       0:00:23       0.1064    0.0776
        25   RobustScaler DecisionTree                      0:00:17       0.0966    0.0776
        26   StandardScalerWrapper DecisionTree             0:00:22       0.0980    0.0776
        27   MinMaxScaler DecisionTree                      0:00:22       0.0935    0.0776
        28   MinMaxScaler DecisionTree                      0:00:22       0.0976    0.0776
        29   MinMaxScaler LightGBM                          0:00:24       0.1000    0.0776
        30   RobustScaler DecisionTree                      0:00:23       0.1006    0.0776
        31   StandardScalerWrapper RandomForest             0:00:25       0.1091    0.0776
        32   MinMaxScaler ExtremeRandomTrees                0:00:27       0.1088    0.0776
        33   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.1143    0.0776
        34   MinMaxScaler ExtremeRandomTrees                0:00:28       0.1151    0.0776
        35   StandardScalerWrapper DecisionTree             0:00:21       0.1174    0.0776
        36   RobustScaler ExtremeRandomTrees                0:00:31       0.1053    0.0776
        37   RobustScaler RandomForest                      0:00:32       0.1016    0.0776
