Running on local machine
Parent Run ID: AutoML_619be11c-c28d-4459-93c5-a51af901418b

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0', Max_Horizon = '2'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:35       0.0923    0.0923
         1   MinMaxScaler DecisionTree                      0:00:22       0.0867    0.0867
         2   StandardScalerWrapper LassoLars                0:00:23       0.1021    0.0867
         3   RobustScaler ElasticNet                        0:00:23       0.1076    0.0867
         4   StandardScalerWrapper LassoLars                0:00:24       0.1021    0.0867
         5   RobustScaler ElasticNet                        0:00:25       0.1076    0.0867
         6   RobustScaler DecisionTree                      0:00:23       0.0968    0.0867
         7   MinMaxScaler DecisionTree                      0:00:23       0.0732    0.0732
         8   RobustScaler DecisionTree                      0:00:22       0.0979    0.0732
         9   MinMaxScaler DecisionTree                      0:00:22       0.0924    0.0732
        10   StandardScalerWrapper DecisionTree             0:00:23       0.0899    0.0732
        11   StandardScalerWrapper DecisionTree             0:00:23       0.0743    0.0732
        12   RobustScaler DecisionTree                      0:00:22       0.1210    0.0732
        13   RobustScaler ElasticNet                        0:00:22       0.1199    0.0732
        14   StandardScalerWrapper DecisionTree             0:00:22       0.0931    0.0732
        15   MinMaxScaler DecisionTree                      0:00:17       0.0878    0.0732
        16   MinMaxScaler DecisionTree                      0:00:23       0.0929    0.0732
        17   RobustScaler DecisionTree                      0:00:23       0.1059    0.0732
        18   RobustScaler DecisionTree                      0:00:21       0.0971    0.0732
        19   StandardScalerWrapper DecisionTree             0:00:21       0.0817    0.0732
        20   StandardScalerWrapper DecisionTree             0:00:22       0.0964    0.0732
        21   StandardScalerWrapper DecisionTree             0:00:23       0.0977    0.0732
        22   MinMaxScaler DecisionTree                      0:00:24       0.0996    0.0732
        23   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.1150    0.0732
        24   MinMaxScaler DecisionTree                      0:00:23       0.0864    0.0732
        25   RobustScaler DecisionTree                      0:00:23       0.0978    0.0732
        26   StandardScalerWrapper DecisionTree             0:00:22       0.0969    0.0732
        27   MinMaxScaler DecisionTree                      0:00:23       0.1036    0.0732
        28   MinMaxScaler LightGBM                          0:00:23       0.1092    0.0732
        29   MinMaxScaler DecisionTree                      0:00:24       0.0905    0.0732
        30   RobustScaler DecisionTree                      0:00:28       0.1141    0.0732
        31   StandardScalerWrapper RandomForest             0:00:24       0.1129    0.0732
        32   StandardScalerWrapper RandomForest             0:00:20       0.0920    0.0732
        33   MinMaxScaler RandomForest                      0:00:32       0.1028    0.0732
        34   MinMaxScaler DecisionTree                      0:00:25       0.0955    0.0732
        35   MinMaxScaler DecisionTree                      0:00:26       0.1081    0.0732
        36   RobustScaler LightGBM                          0:00:25       0.0881    0.0732
        37   StandardScalerWrapper LightGBM                 0:00:25       0.0946    0.0732
        38   RobustScaler LightGBM                          0:00:23       0.1158    0.0732
        39   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.1058    0.0732
        40   StandardScalerWrapper DecisionTree             0:00:24       0.1016    0.0732
        41   MinMaxScaler ExtremeRandomTrees                0:00:24       0.1119    0.0732
        42   StandardScalerWrapper RandomForest             0:00:25       0.1105    0.0732
        43   RobustScaler RandomForest                      0:00:25       0.0932    0.0732
        44   MinMaxScaler ExtremeRandomTrees                0:00:27       0.1135    0.0732
        45   StandardScalerWrapper DecisionTree             0:00:25       0.1088    0.0732
        46   StandardScalerWrapper ExtremeRandomTrees       0:00:26       0.1175    0.0732
        47   MinMaxScaler RandomForest                      0:00:25       0.0963    0.0732
        48   RobustScaler RandomForest                      0:00:25       0.1084    0.0732
        49   MinMaxScaler ExtremeRandomTrees                0:00:31       0.1242    0.0732
        50   StandardScalerWrapper DecisionTree             0:00:19       0.1253    0.0732
        51   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.1261    0.0732
        52   StandardScalerWrapper ExtremeRandomTrees       0:00:27       0.1205    0.0732
        53   StandardScalerWrapper RandomForest             0:00:25       0.0982    0.0732
        54   MinMaxScaler DecisionTree                      0:00:22       0.1002    0.0732
        55   RobustScaler DecisionTree                      0:00:23       0.1022    0.0732
        56   MinMaxScaler ExtremeRandomTrees                0:00:25       0.1162    0.0732
        57   RobustScaler ExtremeRandomTrees                0:00:24       0.1089    0.0732
        58   RobustScaler ExtremeRandomTrees                0:00:25       0.1038    0.0732
