Running on local machine
Parent Run ID: AutoML_a9b7566f-ad03-4f84-89ee-5b6f52e8285a

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0', Max_Horizon = '2'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:23       0.0806    0.0806
         1   MinMaxScaler DecisionTree                      0:00:22       0.0878    0.0806
         2   StandardScalerWrapper LassoLars                0:00:22       0.0716    0.0716
         3   RobustScaler ElasticNet                        0:00:21       0.0717    0.0716
         4   StandardScalerWrapper LassoLars                0:00:22       0.0716    0.0716
         5   RobustScaler ElasticNet                        0:00:22       0.0717    0.0716
         6   RobustScaler DecisionTree                      0:00:21       0.0866    0.0716
         7   MinMaxScaler DecisionTree                      0:00:21       0.0907    0.0716
         8   RobustScaler DecisionTree                      0:00:22       0.0771    0.0716
         9   MinMaxScaler DecisionTree                      0:00:22       0.0875    0.0716
        10   StandardScalerWrapper DecisionTree             0:00:16       0.0816    0.0716
        11   StandardScalerWrapper DecisionTree             0:00:23       0.0716    0.0716
        12   RobustScaler DecisionTree                      0:00:22       0.0809    0.0716
        13   RobustScaler ElasticNet                        0:00:21       0.0744    0.0716
        14   StandardScalerWrapper DecisionTree             0:00:22       0.0805    0.0716
        15   MinMaxScaler DecisionTree                      0:00:23       0.0840    0.0716
        16   MinMaxScaler DecisionTree                      0:00:21       0.0848    0.0716
        17   RobustScaler DecisionTree                      0:00:22       0.0826    0.0716
        18   RobustScaler DecisionTree                      0:00:22       0.0843    0.0716
        19   StandardScalerWrapper DecisionTree             0:00:21       0.0873    0.0716
        20   StandardScalerWrapper DecisionTree             0:00:22       0.0886    0.0716
        21   StandardScalerWrapper DecisionTree             0:00:21       0.0786    0.0716
        22   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.0781    0.0716
