Running on local machine
Parent Run ID: AutoML_49378fe4-5b8f-4ded-9b58-24991d769fc6

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0', Max_Horizon = '2'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:22       0.0808    0.0808
         1   MinMaxScaler DecisionTree                      0:00:22       0.0818    0.0808
         2   StandardScalerWrapper LassoLars                0:00:21       0.0716    0.0716
         3   RobustScaler ElasticNet                        0:00:21       0.0717    0.0716
         4   StandardScalerWrapper LassoLars                0:00:21       0.0716    0.0716
         5   RobustScaler ElasticNet                        0:00:21       0.0717    0.0716
         6   RobustScaler DecisionTree                      0:00:21       0.0782    0.0716
         7   MinMaxScaler DecisionTree                      0:00:22       0.0886    0.0716
         8   RobustScaler DecisionTree                      0:00:21       0.0758    0.0716
         9   MinMaxScaler DecisionTree                      0:00:21       0.0772    0.0716
        10   StandardScalerWrapper DecisionTree             0:00:21       0.0812    0.0716
        11   StandardScalerWrapper DecisionTree             0:00:20       0.0913    0.0716
        12   RobustScaler DecisionTree                      0:00:21       0.0908    0.0716
        13   RobustScaler ElasticNet                        0:00:21       0.0744    0.0716
        14   StandardScalerWrapper DecisionTree             0:00:21       0.0899    0.0716
        15   MinMaxScaler DecisionTree                      0:00:21       0.0821    0.0716
        16   MinMaxScaler DecisionTree                      0:00:21       0.0764    0.0716
        17   RobustScaler DecisionTree                      0:00:21       0.0815    0.0716
        18   RobustScaler DecisionTree                      0:00:21       0.0812    0.0716
        19   StandardScalerWrapper DecisionTree             0:00:21       0.0839    0.0716
        20   StandardScalerWrapper DecisionTree             0:00:22       0.0762    0.0716
        21   MinMaxScaler LightGBM                          0:00:22       0.0747    0.0716
        22   StandardScalerWrapper DecisionTree             0:00:21       0.0868    0.0716
        23   StandardScalerWrapper ExtremeRandomTrees       0:00:23       0.0775    0.0716
        24   MinMaxScaler DecisionTree                      0:00:18       0.0810    0.0716
        25   PCA LassoLars                                  0:00:22       0.1026    0.0716
        26   MinMaxScaler DecisionTree                      0:00:21       0.0826    0.0716
        27   MinMaxScaler ExtremeRandomTrees                0:00:27       0.0782    0.0716
        28   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.0765    0.0716
        29   StandardScalerWrapper ExtremeRandomTrees       0:00:26       0.0771    0.0716
