Running on local machine
Parent Run ID: AutoML_c21d0193-edcb-4eef-a7f7-71cf7bc6e16c

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0', Max_Horizon = '2'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:27       0.0903    0.0903
         1   MinMaxScaler DecisionTree                      0:00:22       0.0775    0.0775
         2   StandardScalerWrapper LassoLars                0:00:22       0.0708    0.0708
         3   RobustScaler ElasticNet                        0:00:23       0.0731    0.0708
         4   StandardScalerWrapper LassoLars                0:00:22       0.0708    0.0708
         5   RobustScaler ElasticNet                        0:00:22       0.0729    0.0708
         6   RobustScaler DecisionTree                      0:00:22       0.0816    0.0708
         7   MinMaxScaler DecisionTree                      0:00:23       0.0838    0.0708
         8   RobustScaler DecisionTree                      0:00:28       0.0873    0.0708
         9   MinMaxScaler DecisionTree                      0:00:22       0.0796    0.0708
        10   StandardScalerWrapper DecisionTree             0:00:23       0.0797    0.0708
        11   StandardScalerWrapper DecisionTree             0:00:17       0.0808    0.0708
        12   RobustScaler DecisionTree                      0:00:22       0.0733    0.0708
        13   RobustScaler ElasticNet                        0:00:22       0.0800    0.0708
        14   StandardScalerWrapper DecisionTree             0:00:22       0.0769    0.0708
        15   MinMaxScaler DecisionTree                      0:00:24       0.0890    0.0708
        16   MinMaxScaler DecisionTree                      0:00:22       0.0861    0.0708
        17   RobustScaler DecisionTree                      0:00:22       0.0828    0.0708
        18   RobustScaler DecisionTree                      0:00:22       0.0789    0.0708
        19   StandardScalerWrapper DecisionTree             0:00:22       0.0839    0.0708
        20   StandardScalerWrapper DecisionTree             0:00:23       0.0902    0.0708
        21   StandardScalerWrapper DecisionTree             0:00:24       0.0786    0.0708
        22   StandardScalerWrapper ExtremeRandomTrees       0:00:20       0.0778    0.0708
        23   MinMaxScaler DecisionTree                      0:00:23       0.0851    0.0708
        24   StandardScalerWrapper DecisionTree             0:00:23       0.0813    0.0708
        25   TruncatedSVDWrapper LassoLars                  0:00:24       0.0724    0.0708
        26   MinMaxScaler LightGBM                          0:00:23       0.0747    0.0708
        27   MinMaxScaler DecisionTree                      0:00:23       0.0883    0.0708
        28   MinMaxScaler DecisionTree                      0:00:22       0.0881    0.0708
        29   RobustScaler ExtremeRandomTrees                0:00:23       0.0801    0.0708
        30   TruncatedSVDWrapper LassoLars                  0:00:24       0.1237    0.0708
        31   StandardScalerWrapper DecisionTree             0:00:23       0.0817    0.0708
        32   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.0774    0.0708
        33   MinMaxScaler ExtremeRandomTrees                0:00:26       0.0804    0.0708
        34   RobustScaler RandomForest                      0:00:24       0.0794    0.0708
        35   TruncatedSVDWrapper LassoLars                  0:00:23       0.0720    0.0708
        36   StandardScalerWrapper RandomForest             0:00:24       0.0784    0.0708
        37   StandardScalerWrapper RandomForest             0:00:24       0.0837    0.0708
        38   RobustScaler ExtremeRandomTrees                0:00:24       0.0814    0.0708
        39   MinMaxScaler ExtremeRandomTrees                0:00:24       0.0782    0.0708
        40   TruncatedSVDWrapper LassoLars                  0:00:24       0.0724    0.0708
        41   RobustScaler RandomForest                      0:00:25       0.0832    0.0708
        42   MinMaxScaler ExtremeRandomTrees                0:00:29       0.0844    0.0708
        43   RobustScaler ExtremeRandomTrees                0:00:25       0.0812    0.0708
        44   MinMaxScaler LightGBM                          0:00:24       0.0807    0.0708
        45   PCA LassoLars                                  0:00:23       0.1265    0.0708
        46   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.0801    0.0708
        47   StandardScalerWrapper ExtremeRandomTrees       0:00:33       0.0813    0.0708
        48   StandardScalerWrapper ExtremeRandomTrees       0:00:27       0.0809    0.0708
        49   RobustScaler RandomForest                      0:00:26       0.0793    0.0708
        50   TruncatedSVDWrapper LassoLars                  0:00:23       0.0724    0.0708
        51   RobustScaler ExtremeRandomTrees                0:00:34       0.0762    0.0708
        52   RobustScaler ExtremeRandomTrees                0:00:25       0.0805    0.0708
        53   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.0824    0.0708
        54   MinMaxScaler RandomForest                      0:00:29       0.0772    0.0708
        55   TruncatedSVDWrapper LassoLars                  0:00:17       0.0733    0.0708
        56   RobustScaler ExtremeRandomTrees                0:00:24       0.0831    0.0708
        57   RobustScaler LightGBM                          0:00:23       0.0757    0.0708
        58   MinMaxScaler ExtremeRandomTrees                0:01:22       0.0808    0.0708
        59   StandardScalerWrapper RandomForest             0:00:24       0.0805    0.0708
        60   MinMaxScaler LassoLars                         0:00:23       0.0730    0.0708
        61   MinMaxScaler ExtremeRandomTrees                0:00:26       0.0806    0.0708
        62   MinMaxScaler ExtremeRandomTrees                0:00:25       0.0823    0.0708
        63   RobustScaler ExtremeRandomTrees                0:00:24       0.0815    0.0708
        64   MinMaxScaler ExtremeRandomTrees                0:00:24       0.0767    0.0708
        65   PCA LassoLars                                  0:00:23       0.1270    0.0708
        66   StandardScalerWrapper ExtremeRandomTrees       0:00:35       0.0807    0.0708
        67   MinMaxScaler ExtremeRandomTrees                0:00:25       0.0825    0.0708
        68   StandardScalerWrapper ExtremeRandomTrees       0:00:20       0.0821    0.0708
        69   RobustScaler ExtremeRandomTrees                0:00:30       0.0809    0.0708
        70   PCA LassoLars                                  0:00:25       0.1265    0.0708
        71   RobustScaler RandomForest                      0:00:25       0.0792    0.0708
        72   MinMaxScaler RandomForest                      0:00:32       0.0786    0.0708
        73   MinMaxScaler ExtremeRandomTrees                0:00:26       0.0828    0.0708
        74   StandardScalerWrapper ExtremeRandomTrees       0:00:28       0.0823    0.0708
        75   PCA LassoLars                                  0:00:23       0.1265    0.0708
        76   MinMaxScaler ExtremeRandomTrees                0:00:26       0.0809    0.0708
        77   RobustScaler RandomForest                      0:00:28       0.0823    0.0708
        78   RobustScaler RandomForest                      0:00:25       0.0799    0.0708
        79   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.0809    0.0708
        80   PCA LassoLars                                  0:00:24       0.1265    0.0708
        81   MinMaxScaler ExtremeRandomTrees                0:00:25       0.0813    0.0708
        82   RobustScaler ExtremeRandomTrees                0:00:25       0.0812    0.0708
        83   StandardScalerWrapper ExtremeRandomTrees       0:00:19       0.0795    0.0708
        84   RobustScaler RandomForest                      0:00:22       0.0800    0.0708
        85   PCA LassoLars                                  0:00:23       0.1265    0.0708
        86   MinMaxScaler RandomForest                      0:00:25       0.0801    0.0708
        87   MinMaxScaler RandomForest                      0:00:25       0.0821    0.0708
        88   StandardScalerWrapper ExtremeRandomTrees       0:00:29       0.0802    0.0708
        89   RobustScaler ExtremeRandomTrees                0:00:27       0.0815    0.0708
        90   PCA LassoLars                                  0:00:23       0.1265    0.0708
        91   MinMaxScaler ExtremeRandomTrees                0:00:24       0.0805    0.0708
        92   RobustScaler RandomForest                      0:00:28       0.0811    0.0708
        93   RobustScaler ExtremeRandomTrees                0:00:33       0.0798    0.0708
        94   StandardScalerWrapper RandomForest             0:00:25       0.0809    0.0708
        95   PCA LassoLars                                  0:00:23       0.1265    0.0708
        96   MinMaxScaler ExtremeRandomTrees                0:00:26       0.0805    0.0708
        97   StandardScalerWrapper RandomForest             0:00:29       0.0808    0.0708
        98   RobustScaler RandomForest                      0:00:25       0.0809    0.0708
        99   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.0800    0.0708
       100   PCA LassoLars                                  0:01:23       0.1265    0.0708
       101   StandardScalerWrapper ExtremeRandomTrees       0:00:29       0.0791    0.0708
       102   MinMaxScaler DecisionTree                      0:00:23       0.0736    0.0708
       103   RobustScaler ExtremeRandomTrees                0:00:26       0.0779    0.0708
       104   StandardScalerWrapper RandomForest             0:00:27       0.0767    0.0708
       105   PCA LassoLars                                  0:00:22       0.1265    0.0708
       106   RobustScaler GradientBoosting                  0:00:26       0.0812    0.0708
       107   StandardScalerWrapper RandomForest             0:00:25       0.0773    0.0708
       108   RobustScaler ExtremeRandomTrees                0:00:26       0.0856    0.0708
       109   StandardScalerWrapper ExtremeRandomTrees       0:00:27       0.0844    0.0708
       110   PCA LassoLars                                  0:00:19       0.1265    0.0708
       111   MinMaxScaler ExtremeRandomTrees                0:00:20       0.0769    0.0708
       112   RobustScaler RandomForest                      0:00:24       0.0777    0.0708
       113   StandardScalerWrapper ExtremeRandomTrees       0:00:29       0.0821    0.0708
       114   RobustScaler ExtremeRandomTrees                0:00:27       0.0796    0.0708
       115   PCA LassoLars                                  0:00:23       0.1265    0.0708
       116   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.0827    0.0708
       117   StandardScalerWrapper ExtremeRandomTrees       0:00:27       0.0818    0.0708
       118   RobustScaler ExtremeRandomTrees                0:00:25       0.0816    0.0708
       119   StandardScalerWrapper ExtremeRandomTrees       0:00:27       0.0844    0.0708
       120   PCA LassoLars                                  0:00:24       0.1265    0.0708
       121   StandardScalerWrapper RandomForest             0:00:21       0.0754    0.0708
       122   StandardScalerWrapper RandomForest             0:00:20       0.0842    0.0708
       123   StandardScalerWrapper ExtremeRandomTrees       0:00:27       0.0766    0.0708
       124   StandardScalerWrapper RandomForest             0:00:30       0.0774    0.0708
       125   PCA LassoLars                                  0:00:23       0.1270    0.0708
       126   RobustScaler ExtremeRandomTrees                0:00:26       0.0838    0.0708
       127   MinMaxScaler ExtremeRandomTrees                0:00:24       0.0803    0.0708
       128   MinMaxScaler RandomForest                      0:00:26       0.0794    0.0708
       129   StandardScalerWrapper ExtremeRandomTrees       0:00:26       0.0828    0.0708
       130   PCA LassoLars                                  0:00:23       0.1270    0.0708
       131   RobustScaler DecisionTree                      0:00:24       0.0787    0.0708
       132   RobustScaler RandomForest                      0:00:30       0.0797    0.0708
       133   RobustScaler ExtremeRandomTrees                0:00:27       0.0792    0.0708
       134   RobustScaler RandomForest                      0:00:24       0.0812    0.0708
       135   PCA LassoLars                                  0:00:22       0.1265    0.0708
       136   RobustScaler ExtremeRandomTrees                0:00:29       0.0806    0.0708
       137   StandardScalerWrapper RandomForest             0:00:27       0.0783    0.0708
       138   VotingEnsemble                                 0:01:54       0.0700    0.0700
Stopping criteria reached at iteration 139. Ending experiment.
****************************************************************************************************
Current status: BestRunExplainModel. Best run model explanations started
Current status: ModelExplanationDataSetSetup. Model explanations data setup completed
Current status: PickSurrogateModel. Choosing LightGBM as the surrogate model for explanations
Current status: EngineeredFeatureExplanations. Computation of engineered features started
Current status: EngineeredFeatureExplanations. Computation of engineered features completed
Current status: BestRunExplainModel. Best run model explanations completed
****************************************************************************************************
Best pipeline:
<class 'sklearn.ensemble._voting.VotingRegressor'>
0. Pipeline(memory=None,
         steps=[('standardscalerwrapper',
                 <azureml.automl.runtime.shared.model_wrappers.StandardScalerWrapper object at 0x7f06f0968d50>),
                ('lassolars',
                 LassoLars(alpha=0.001, copy_X=True, eps=2.220446049250313e-16,
                           fit_intercept=True, fit_path=True, max_iter=500,
                           normalize=False, positive=False, precompute='auto',
                           verbose=False))],
         verbose=False)
1. Pipeline(memory=None,
         steps=[('standardscalerwrapper',
                 <azureml.automl.runtime.shared.model_wrappers.StandardScalerWrapper object at 0x7f051dbbf250>),
                ('lassolars',
                 LassoLars(alpha=0.001, copy_X=True, eps=2.220446049250313e-16,
