Running on local machine
Parent Run ID: AutoML_b179f392-2046-4e89-ac16-9c717a61adca

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0', Max_Horizon = '2'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:23       0.0801    0.0801
         1   MinMaxScaler DecisionTree                      0:00:20       0.0875    0.0801
         2   StandardScalerWrapper LassoLars                0:00:22       0.0716    0.0716
         3   RobustScaler ElasticNet                        0:00:21       0.0717    0.0716
         4   StandardScalerWrapper LassoLars                0:00:22       0.0716    0.0716
         5   RobustScaler ElasticNet                        0:00:22       0.0717    0.0716
         6   RobustScaler DecisionTree                      0:00:22       0.0824    0.0716
         7   MinMaxScaler DecisionTree                      0:00:22       0.0858    0.0716
         8   RobustScaler DecisionTree                      0:00:21       0.0824    0.0716
         9   MinMaxScaler DecisionTree                      0:00:22       0.0799    0.0716
        10   StandardScalerWrapper DecisionTree             0:00:22       0.0778    0.0716
        11   StandardScalerWrapper DecisionTree             0:00:22       0.0762    0.0716
        12   RobustScaler DecisionTree                      0:00:22       0.0783    0.0716
        13   RobustScaler ElasticNet                        0:00:22       0.0744    0.0716
        14   StandardScalerWrapper DecisionTree             0:00:22       0.0845    0.0716
        15   MinMaxScaler DecisionTree                      0:00:22       0.0918    0.0716
        16   MinMaxScaler DecisionTree                      0:00:21       0.0825    0.0716
        17   RobustScaler DecisionTree                      0:00:21       0.0849    0.0716
        18   RobustScaler DecisionTree                      0:00:22       0.0766    0.0716
        19   StandardScalerWrapper DecisionTree             0:00:23       0.0758    0.0716
        20   StandardScalerWrapper DecisionTree             0:00:25       0.0873    0.0716
        21   StandardScalerWrapper DecisionTree             0:00:22       0.0898    0.0716
        22   MinMaxScaler LightGBM                          0:00:23       0.0747    0.0716
        23   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.0780    0.0716
        24   MinMaxScaler DecisionTree                      0:00:22       0.0810    0.0716
        25   PCA LassoLars                                  0:00:23       0.1026    0.0716
        26   MinMaxScaler DecisionTree                      0:00:23       0.0835    0.0716
        27   MinMaxScaler ExtremeRandomTrees                0:00:27       0.0770    0.0716
        28   StandardScalerWrapper ExtremeRandomTrees       0:00:26       0.0766    0.0716
        29   StandardScalerWrapper ExtremeRandomTrees       0:00:26       0.0773    0.0716
        30   TruncatedSVDWrapper LassoLars                  0:00:23       0.0714    0.0714
        31   StandardScalerWrapper ExtremeRandomTrees       0:00:28       0.0763    0.0714
        32   MinMaxScaler RandomForest                      0:00:30       0.0773    0.0714
        33   MinMaxScaler ExtremeRandomTrees                0:00:26       0.0767    0.0714
