WARNING - Received unrecognized parameter ensemble_download_models_timeout_sec
Running on local machine
Parent Run ID: AutoML_b507a584-06ab-4801-82e2-32922c0ac570

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2064)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:22       0.1311    0.1311
         1   MinMaxScaler DecisionTree                      0:00:22       0.1329    0.1311
         2   StandardScalerWrapper LassoLars                0:00:22       0.1316    0.1311
         3   RobustScaler ElasticNet                        0:00:20       0.1317    0.1311
         4   StandardScalerWrapper LassoLars                0:00:24       0.1316    0.1311
         5   RobustScaler ElasticNet                        0:00:23       0.1316    0.1311
         6   RobustScaler DecisionTree                      0:00:21       0.1313    0.1311
         7   MinMaxScaler DecisionTree                      0:00:22       0.1380    0.1311
         8   RobustScaler DecisionTree                      0:00:22       0.1307    0.1307
         9   MinMaxScaler DecisionTree                      0:00:21       0.1319    0.1307
        10   StandardScalerWrapper DecisionTree             0:00:22       0.1325    0.1307
        11   StandardScalerWrapper DecisionTree             0:00:16       0.1320    0.1307
        12   RobustScaler DecisionTree                      0:00:21       0.1325    0.1307
        13   RobustScaler ElasticNet                        0:00:21       0.1317    0.1307
        14   StandardScalerWrapper DecisionTree             0:00:21       0.1332    0.1307
        15   MinMaxScaler DecisionTree                      0:00:22       0.1333    0.1307
        16   MinMaxScaler DecisionTree                      0:00:20       0.1318    0.1307
        17   RobustScaler DecisionTree                      0:00:22       0.1324    0.1307
        18   RobustScaler DecisionTree                      0:00:21       0.1309    0.1307
        19   StandardScalerWrapper DecisionTree             0:00:21       0.1326    0.1307
        20   StandardScalerWrapper DecisionTree             0:00:25       0.1355    0.1307
        21   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.1306    0.1306
        22   MinMaxScaler LightGBM                          0:00:22       0.1304    0.1304
        23   MinMaxScaler DecisionTree                      0:00:21       0.1334    0.1304
        24   MinMaxScaler DecisionTree                      0:00:23       0.1309    0.1304
        25   MinMaxScaler LightGBM                          0:00:29       0.1307    0.1304
        26   StandardScalerWrapper RandomForest             0:00:23       0.1305    0.1304
        27   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.1305    0.1304
        28   MinMaxScaler ExtremeRandomTrees                0:00:26       0.1303    0.1303
        29   StandardScalerWrapper RandomForest             0:00:30       0.1303    0.1303
        30   MinMaxScaler ExtremeRandomTrees                0:00:25       0.1310    0.1303
        31   StandardScalerWrapper ExtremeRandomTrees       0:00:23       0.1302    0.1302
        32   RobustScaler RandomForest                      0:00:24       0.1305    0.1302
        33   StandardScalerWrapper ExtremeRandomTrees       0:00:27       0.1303    0.1302
        34   MinMaxScaler ExtremeRandomTrees                0:00:23       0.1300    0.1300
        35   RobustScaler ExtremeRandomTrees                0:00:23       0.1313    0.1300
