WARNING - Received unrecognized parameter ensemble_download_models_timeout_sec
Running on local machine
Parent Run ID: AutoML_5c364eb4-c99b-4ae0-a788-d5014c0263c6

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2064)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:23       0.1311    0.1311
         1   MinMaxScaler DecisionTree                      0:00:23       0.1321    0.1311
         2   StandardScalerWrapper LassoLars                0:00:22       0.1316    0.1311
         3   RobustScaler ElasticNet                        0:00:22       0.1317    0.1311
         4   StandardScalerWrapper LassoLars                0:00:17       0.1316    0.1311
         5   RobustScaler ElasticNet                        0:00:22       0.1316    0.1311
         6   RobustScaler DecisionTree                      0:00:23       0.1312    0.1311
         7   MinMaxScaler DecisionTree                      0:00:25       0.1383    0.1311
         8   RobustScaler DecisionTree                      0:00:23       0.1308    0.1308
         9   MinMaxScaler DecisionTree                      0:00:22       0.1324    0.1308
        10   StandardScalerWrapper DecisionTree             0:00:23       0.1319    0.1308
        11   StandardScalerWrapper DecisionTree             0:00:22       0.1326    0.1308
        12   RobustScaler DecisionTree                      0:00:22       0.1326    0.1308
        13   RobustScaler ElasticNet                        0:00:23       0.1317    0.1308
        14   StandardScalerWrapper DecisionTree             0:00:23       0.1324    0.1308
        15   MinMaxScaler DecisionTree                      0:00:23       0.1337    0.1308
        16   MinMaxScaler DecisionTree                      0:00:22       0.1319    0.1308
        17   RobustScaler DecisionTree                      0:00:19       0.1318    0.1308
        18   RobustScaler DecisionTree                      0:00:21       0.1311    0.1308
        19   StandardScalerWrapper DecisionTree             0:00:22       0.1334    0.1308
        20   StandardScalerWrapper DecisionTree             0:00:25       0.1340    0.1308
        21   StandardScalerWrapper ExtremeRandomTrees       0:00:27       0.1309    0.1308
        22   MinMaxScaler LightGBM                          0:00:23       0.1304    0.1304
        23   MinMaxScaler DecisionTree                      0:00:23       0.1329    0.1304
        24   MinMaxScaler DecisionTree                      0:00:23       0.1308    0.1304
        25   MinMaxScaler LightGBM                          0:00:23       0.1307    0.1304
        26   StandardScalerWrapper RandomForest             0:00:26       0.1305    0.1304
        27   StandardScalerWrapper ExtremeRandomTrees       0:00:26       0.1305    0.1304
        28   RobustScaler ExtremeRandomTrees                0:00:25       0.1304    0.1304
        29   MinMaxScaler ExtremeRandomTrees                0:00:28       0.1303    0.1303
