Running on local machine
Parent Run ID: AutoML_82f0bd85-6076-447e-9c5f-1c7de42e30ea

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0', Max_Horizon = '2'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:07:26       0.0860    0.0860
         1   MinMaxScaler DecisionTree                      0:00:25       0.0749    0.0749
         2   StandardScalerWrapper LassoLars                0:00:28       0.0940    0.0749
         3   RobustScaler ElasticNet                        0:00:24       0.0943    0.0749
         4   StandardScalerWrapper LassoLars                0:00:22       0.0940    0.0749
         5   RobustScaler ElasticNet                        0:00:22       0.0942    0.0749
         6   RobustScaler DecisionTree                      0:00:24       0.0848    0.0749
         7   MinMaxScaler DecisionTree                      0:00:22       0.0855    0.0749
         8   RobustScaler DecisionTree                      0:00:28       0.0993    0.0749
         9   MinMaxScaler DecisionTree                      0:00:22       0.0886    0.0749
        10   StandardScalerWrapper DecisionTree             0:00:22       0.0989    0.0749
        11   StandardScalerWrapper DecisionTree             0:00:23       0.0922    0.0749
        12   RobustScaler DecisionTree                      0:00:26       0.0987    0.0749
        13   RobustScaler ElasticNet                        0:00:23       0.0950    0.0749
        14   StandardScalerWrapper DecisionTree             0:00:32       0.0899    0.0749
        15   MinMaxScaler DecisionTree                      0:00:21       0.1019    0.0749
        16   MinMaxScaler DecisionTree                      0:00:23       0.0860    0.0749
        17   RobustScaler DecisionTree                      0:00:25       0.0957    0.0749
        18   RobustScaler DecisionTree                      0:00:24       0.0979    0.0749
        19   StandardScalerWrapper DecisionTree             0:00:25       0.0840    0.0749
        20   StandardScalerWrapper DecisionTree             0:00:26       0.0873    0.0749
        21   StandardScalerWrapper DecisionTree             0:00:23       0.0850    0.0749
        22   MinMaxScaler LightGBM                          0:00:22       0.0915    0.0749
        23   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.0961    0.0749
        24   MinMaxScaler DecisionTree                      0:00:25       0.0925    0.0749
        25   RobustScaler DecisionTree                      0:00:24       0.1014    0.0749
        26   MinMaxScaler DecisionTree                      0:00:23       0.0942    0.0749
        27   MinMaxScaler DecisionTree                      0:00:22       0.0937    0.0749
        28   StandardScalerWrapper DecisionTree             0:00:29       0.0862    0.0749
        29   MinMaxScaler DecisionTree                      0:00:23       0.0905    0.0749
        30   RobustScaler DecisionTree                      0:00:23       0.0939    0.0749
        31   StandardScalerWrapper RandomForest             0:00:24       0.0919    0.0749
        32   MinMaxScaler ExtremeRandomTrees                0:00:27       0.0906    0.0749
        33   StandardScalerWrapper ExtremeRandomTrees       0:00:37       0.0931    0.0749
        34   MinMaxScaler ExtremeRandomTrees                0:00:31       0.0937    0.0749
        35   StandardScalerWrapper DecisionTree             0:00:22       0.0949    0.0749
        36   RobustScaler ExtremeRandomTrees                0:00:25       0.0923    0.0749
        37   RobustScaler RandomForest                      0:00:24       0.0875    0.0749
        38   StandardScalerWrapper ExtremeRandomTrees       0:00:30       0.0917    0.0749
        39   RobustScaler RandomForest                      0:00:25       0.0833    0.0749
        40   RobustScaler DecisionTree                      0:00:23       0.0857    0.0749
        41   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.0880    0.0749
        42   StandardScalerWrapper RandomForest             0:00:24       0.0921    0.0749
        43   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_82f0bd85-6076-447e-9c5f-1c7de42e30ea_43/outputs/model.pkl?sv=2019-02-02&sr=b&sig=FdE8nWkqOUFiGS9OsFdszciCt1Sd1EsKvFjOq4DsYRI%3D&st=2020-09-03T16%3A54%3A02Z&se=2020-09-04T17%3A04%3A02Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
RobustScaler ExtremeRandomTrees                0:03:03       0.0914    0.0749
        44   MinMaxScaler ExtremeRandomTrees                0:00:33       0.0929    0.0749
        45   StandardScalerWrapper DecisionTree             0:00:24       0.0948    0.0749
        46   StandardScalerWrapper ExtremeRandomTrees       0:00:27       0.0924    0.0749
        47   MinMaxScaler RandomForest                      0:00:20       0.0867    0.0749
        48   MinMaxScaler ExtremeRandomTrees                0:00:29       0.0927    0.0749
        49   RobustScaler RandomForest                      0:00:27       0.0892    0.0749
        50   MinMaxScaler DecisionTree                      0:00:24       0.0941    0.0749
        51   RobustScaler ExtremeRandomTrees                0:00:30       0.0905    0.0749
        52   MinMaxScaler DecisionTree                      0:00:24       0.0951    0.0749
        53   RobustScaler ExtremeRandomTrees                0:00:26       0.0905    0.0749
        54   RobustScaler RandomForest                      0:00:28       0.0864    0.0749
        55   StandardScalerWrapper DecisionTree             0:00:24       0.0899    0.0749
        56   MinMaxScaler ExtremeRandomTrees                0:00:21       0.0935    0.0749
        57   StandardScalerWrapper ExtremeRandomTrees       0:00:28       0.0904    0.0749
        58   RobustScaler ExtremeRandomTrees                0:00:36       0.0918    0.0749
        59   MinMaxScaler ExtremeRandomTrees                0:00:25       0.0907    0.0749
        60   RobustScaler DecisionTree                      0:00:24       0.0880    0.0749
        61   RobustScaler RandomForest                      0:00:24       0.0933    0.0749
        62   RobustScaler ExtremeRandomTrees                0:00:19       0.0933    0.0749
        63   RobustScaler RandomForest                      0:00:26       0.0868    0.0749
        64   StandardScalerWrapper ExtremeRandomTrees       0:00:31       0.0921    0.0749
        65   RobustScaler DecisionTree                      0:00:25       0.0957    0.0749
        66   RobustScaler RandomForest                      0:00:27       0.0858    0.0749
        67   MinMaxScaler ExtremeRandomTrees                0:00:26       0.0933    0.0749
        68   MinMaxScaler RandomForest                      0:00:25       0.0880    0.0749
