Running on local machine
Parent Run ID: AutoML_b571b1b7-5720-4d1f-94de-69057562a4e0

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0', Max_Horizon = '2'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:26       0.0918    0.0918
         1   MinMaxScaler DecisionTree                      0:00:23       0.1008    0.0918
         2   StandardScalerWrapper LassoLars                0:00:19       0.0940    0.0918
         3   RobustScaler ElasticNet                        0:00:24       0.0943    0.0918
         4   StandardScalerWrapper LassoLars                0:00:23       0.0940    0.0918
         5   RobustScaler ElasticNet                        0:00:22       0.0942    0.0918
         6   RobustScaler DecisionTree                      0:00:23       0.0834    0.0834
         7   MinMaxScaler DecisionTree                      0:00:23       0.0924    0.0834
         8   RobustScaler DecisionTree                      0:01:22       0.0918    0.0834
         9   MinMaxScaler DecisionTree                      0:00:22       0.0872    0.0834
        10   StandardScalerWrapper DecisionTree             0:00:22       0.0945    0.0834
        11   StandardScalerWrapper DecisionTree             0:00:23       0.0994    0.0834
        12   RobustScaler DecisionTree                      0:00:22       0.0886    0.0834
        13   RobustScaler ElasticNet                        0:00:23       0.0950    0.0834
        14   StandardScalerWrapper DecisionTree             0:00:21       0.0968    0.0834
        15   MinMaxScaler DecisionTree                      0:00:22       0.0858    0.0834
        16   MinMaxScaler DecisionTree                      0:00:22       0.0985    0.0834
        17   RobustScaler DecisionTree                      0:00:21       0.0886    0.0834
        18   RobustScaler DecisionTree                      0:00:22       0.0974    0.0834
        19   StandardScalerWrapper DecisionTree             0:00:22       0.0824    0.0824
        20   StandardScalerWrapper DecisionTree             0:00:23       0.0930    0.0824
        21   StandardScalerWrapper DecisionTree             0:00:22       0.0914    0.0824
        22   MinMaxScaler LightGBM                          0:00:22       0.0915    0.0824
        23   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.0922    0.0824
        24   MinMaxScaler DecisionTree                      0:00:25       0.0920    0.0824
        25   RobustScaler DecisionTree                      0:00:23       0.0933    0.0824
        26   StandardScalerWrapper DecisionTree             0:00:22       0.0838    0.0824
        27   MinMaxScaler DecisionTree                      0:00:25       0.0906    0.0824
        28   StandardScalerWrapper RandomForest             0:00:24       0.0922    0.0824
        29   MinMaxScaler DecisionTree                      0:00:22       0.0919    0.0824
        30   RobustScaler DecisionTree                      0:00:22       0.0950    0.0824
        31   MinMaxScaler DecisionTree                      0:00:23       0.0881    0.0824
