Running on local machine
Parent Run ID: AutoML_af4e3aa7-48de-40db-9b2c-cf5cb29642de

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0', Max_Horizon = '2'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:24       0.0955    0.0955
         1   MinMaxScaler DecisionTree                      0:00:22       0.0981    0.0955
         2   StandardScalerWrapper LassoLars                0:00:22       0.0965    0.0955
         3   RobustScaler ElasticNet                        0:00:21       0.0968    0.0955
         4   StandardScalerWrapper LassoLars                0:00:21       0.0965    0.0955
         5   RobustScaler ElasticNet                        0:00:21       0.0967    0.0955
         6   RobustScaler DecisionTree                      0:00:21       0.0955    0.0955
         7   MinMaxScaler DecisionTree                      0:00:21       0.0897    0.0897
         8   RobustScaler DecisionTree                      0:00:21       0.0997    0.0897
         9   MinMaxScaler DecisionTree                      0:00:21       0.0879    0.0879
        10   StandardScalerWrapper DecisionTree             0:00:21       0.1003    0.0879
        11   StandardScalerWrapper DecisionTree             0:00:21       0.0836    0.0836
        12   RobustScaler DecisionTree                      0:00:35       0.0885    0.0836
        13   RobustScaler ElasticNet                        0:00:22       0.0973    0.0836
        14   StandardScalerWrapper DecisionTree             0:00:23       0.1063    0.0836
        15   MinMaxScaler DecisionTree                      0:00:21       0.0997    0.0836
        16   MinMaxScaler DecisionTree                      0:00:21       0.0983    0.0836
        17   RobustScaler DecisionTree                      0:00:21       0.0836    0.0836
        18   RobustScaler DecisionTree                      0:00:21       0.0984    0.0836
        19   StandardScalerWrapper DecisionTree             0:00:16       0.0872    0.0836
        20   StandardScalerWrapper DecisionTree             0:00:22       0.0820    0.0820
        21   StandardScalerWrapper DecisionTree             0:00:22       0.0907    0.0820
        22   MinMaxScaler LightGBM                          0:00:22       0.0962    0.0820
        23   StandardScalerWrapper ExtremeRandomTrees       0:00:23       0.0962    0.0820
        24   MinMaxScaler DecisionTree                      0:00:22       0.0864    0.0820
        25   RobustScaler DecisionTree                      0:00:21       0.0983    0.0820
        26   MinMaxScaler DecisionTree                      0:00:21       0.1036    0.0820
        27   StandardScalerWrapper DecisionTree             0:00:22       0.0958    0.0820
        28   MinMaxScaler DecisionTree                      0:00:21       0.0951    0.0820
        29   StandardScalerWrapper RandomForest             0:00:23       0.0948    0.0820
        30   RobustScaler DecisionTree                      0:00:23       0.0895    0.0820
        31   MinMaxScaler ExtremeRandomTrees                0:00:26       0.0956    0.0820
        32   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.0971    0.0820
        33   MinMaxScaler ExtremeRandomTrees                0:00:28       0.0960    0.0820
        34   StandardScalerWrapper RandomForest             0:00:23       0.0914    0.0820
        35   StandardScalerWrapper DecisionTree             0:00:23       0.0961    0.0820
        36   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.0947    0.0820
        37   RobustScaler RandomForest                      0:00:24       0.0903    0.0820
        38   StandardScalerWrapper ExtremeRandomTrees       0:00:23       0.0915    0.0820
        39   RobustScaler RandomForest                      0:00:24       0.0904    0.0820
        40   RobustScaler DecisionTree                      0:00:22       0.0964    0.0820
        41   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_af4e3aa7-48de-40db-9b2c-cf5cb29642de_41/outputs/scoring_file_v_1_0_0.py?sv=2019-02-02&sr=b&sig=QVxDe3DOzbrQNZU7SECdbYr%2Fe9AMaVVVKwh18ulk2hI%3D&st=2020-09-19T12%3A28%3A34Z&se=2020-09-20T12%3A38%3A34Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
RobustScaler ExtremeRandomTrees                0:03:05       0.0957    0.0820
        42   RobustScaler ExtremeRandomTrees                0:00:28       0.0948    0.0820
        43   MinMaxScaler ExtremeRandomTrees                0:00:29       0.0961    0.0820
        44   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.0961    0.0820
