Running on local machine
Parent Run ID: AutoML_309c6dd0-0ba2-4ca1-b102-8fccfc67d270

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0', Max_Horizon = '2'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:23       0.0901    0.0901
         1   MinMaxScaler DecisionTree                      0:00:23       0.0852    0.0852
         2   StandardScalerWrapper LassoLars                0:00:22       0.0965    0.0852
         3   RobustScaler ElasticNet                        0:00:22       0.0968    0.0852
         4   StandardScalerWrapper LassoLars                0:00:21       0.0965    0.0852
         5   RobustScaler ElasticNet                        0:00:23       0.0967    0.0852
         6   RobustScaler DecisionTree                      0:00:24       0.0916    0.0852
         7   MinMaxScaler DecisionTree                      0:00:22       0.0871    0.0852
         8   RobustScaler DecisionTree                      0:00:22       0.0992    0.0852
         9   MinMaxScaler DecisionTree                      0:00:21       0.0914    0.0852
        10   StandardScalerWrapper DecisionTree             0:00:22       0.0893    0.0852
        11   StandardScalerWrapper DecisionTree             0:00:16       0.0917    0.0852
        12   RobustScaler DecisionTree                      0:00:22       0.1015    0.0852
        13   RobustScaler ElasticNet                        0:00:23       0.0973    0.0852
        14   StandardScalerWrapper DecisionTree             0:00:22       0.1052    0.0852
        15   MinMaxScaler DecisionTree                      0:00:17       0.0883    0.0852
        16   MinMaxScaler DecisionTree                      0:00:16       0.0863    0.0852
        17   RobustScaler DecisionTree                      0:00:17       0.0969    0.0852
        18   RobustScaler DecisionTree                      0:00:21       0.0893    0.0852
        19   StandardScalerWrapper DecisionTree             0:00:16       0.0918    0.0852
        20   StandardScalerWrapper DecisionTree             0:00:22       0.0896    0.0852
        21   StandardScalerWrapper DecisionTree             0:00:22       0.1025    0.0852
        22   MinMaxScaler LightGBM                          0:00:23       0.0962    0.0852
        23   StandardScalerWrapper ExtremeRandomTrees       0:00:20       0.0974    0.0852
        24   MinMaxScaler DecisionTree                      0:00:23       0.0940    0.0852
        25   RobustScaler DecisionTree                      0:00:25       0.0932    0.0852
        26   MinMaxScaler DecisionTree                      0:00:28       0.0934    0.0852
        27   MinMaxScaler DecisionTree                      0:00:22       0.0936    0.0852
        28   StandardScalerWrapper DecisionTree             0:00:22       0.0881    0.0852
        29   MinMaxScaler DecisionTree                      0:00:25       0.0873    0.0852
        30   RobustScaler DecisionTree                      0:00:34       0.0948    0.0852
        31   StandardScalerWrapper RandomForest             0:00:29       0.0938    0.0852
        32   RobustScaler ExtremeRandomTrees                0:00:25       0.0958    0.0852
        33   StandardScalerWrapper ExtremeRandomTrees       0:00:20       0.0964    0.0852
        34   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.0947    0.0852
        35   StandardScalerWrapper DecisionTree             0:00:23       0.0975    0.0852
        36   MinMaxScaler ExtremeRandomTrees                0:00:28       0.0958    0.0852
        37   StandardScalerWrapper RandomForest             0:00:24       0.0926    0.0852
        38   RobustScaler RandomForest                      0:00:25       0.0906    0.0852
        39   MinMaxScaler ExtremeRandomTrees                0:00:29       0.0962    0.0852
        40   StandardScalerWrapper DecisionTree             0:00:23       0.0984    0.0852
        41   RobustScaler ExtremeRandomTrees                0:00:29       0.0947    0.0852
        42   RobustScaler RandomForest                      0:00:24       0.0920    0.0852
        43   StandardScalerWrapper ExtremeRandomTrees       0:00:26       0.0952    0.0852
        44   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.0959    0.0852
        45   RobustScaler DecisionTree                      0:00:17       0.0875    0.0852
        46   RobustScaler ExtremeRandomTrees                0:00:29       0.0947    0.0852
        47   MinMaxScaler ExtremeRandomTrees                0:00:25       0.0961    0.0852
        48   MinMaxScaler DecisionTree                      0:00:17       0.0936    0.0852
        49   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.0959    0.0852
        50   StandardScalerWrapper DecisionTree             0:00:23       0.1116    0.0852
        51   MinMaxScaler ExtremeRandomTrees                0:00:30       0.0958    0.0852
        52   MinMaxScaler RandomForest                      0:00:24       0.0906    0.0852
        53   RobustScaler ExtremeRandomTrees                0:00:23       0.0943    0.0852
        54   RobustScaler ExtremeRandomTrees                0:00:24       0.0952    0.0852
        55   MinMaxScaler DecisionTree                      0:00:28       0.0979    0.0852
        56   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.0948    0.0852
        57   MinMaxScaler ExtremeRandomTrees                0:00:19       0.0962    0.0852
        58   RobustScaler ExtremeRandomTrees                0:00:24       0.0944    0.0852
        59   RobustScaler RandomForest                      0:00:26       0.0899    0.0852
        60   RobustScaler DecisionTree                      0:00:23       0.0980    0.0852
        61   MinMaxScaler ExtremeRandomTrees                0:00:20       0.0951    0.0852
