WARNING - Received unrecognized parameter ensemble_download_models_timeout_sec
Running on local machine
Parent Run ID: AutoML_74056a2d-9474-4434-86a9-8c3106df88b5

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2223)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:22       0.1324    0.1324
         1   MinMaxScaler DecisionTree                      0:00:21       0.1332    0.1324
         2   StandardScalerWrapper LassoLars                0:00:21       0.1415    0.1324
         3   RobustScaler ElasticNet                        0:00:22       0.1405    0.1324
         4   StandardScalerWrapper LassoLars                0:00:20       0.1414    0.1324
         5   RobustScaler ElasticNet                        0:00:21       0.1414    0.1324
         6   RobustScaler DecisionTree                      0:00:20       0.1330    0.1324
         7   MinMaxScaler DecisionTree                      0:00:16       0.1392    0.1324
         8   RobustScaler DecisionTree                      0:00:21       0.1322    0.1322
         9   MinMaxScaler DecisionTree                      0:00:21       0.1335    0.1322
        10   StandardScalerWrapper DecisionTree             0:00:21       0.1329    0.1322
        11   StandardScalerWrapper DecisionTree             0:00:21       0.1334    0.1322
        12   RobustScaler DecisionTree                      0:00:21       0.1333    0.1322
        13   RobustScaler ElasticNet                        0:00:22       0.1400    0.1322
        14   StandardScalerWrapper DecisionTree             0:00:22       0.1340    0.1322
        15   MinMaxScaler DecisionTree                      0:00:23       0.1341    0.1322
        16   MinMaxScaler DecisionTree                      0:00:22       0.1329    0.1322
        17   RobustScaler DecisionTree                      0:00:21       0.1336    0.1322
        18   RobustScaler DecisionTree                      0:00:21       0.1324    0.1322
        19   StandardScalerWrapper DecisionTree             0:00:21       0.1341    0.1322
        20   StandardScalerWrapper DecisionTree             0:00:21       0.1355    0.1322
        21   StandardScalerWrapper ExtremeRandomTrees       0:00:23       0.1308    0.1308
        22   MinMaxScaler LightGBM                          0:00:22       0.1311    0.1308
        23   MinMaxScaler DecisionTree                      0:00:21       0.1351    0.1308
        24   MinMaxScaler DecisionTree                      0:00:22       0.1329    0.1308
        25   MinMaxScaler ExtremeRandomTrees                0:00:24       0.1307    0.1307
        26   MinMaxScaler ExtremeRandomTrees                0:00:27       0.1309    0.1307
        27   StandardScalerWrapper RandomForest             0:00:23       0.1310    0.1307
        28   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.1309    0.1307
        29   RobustScaler RandomForest                      0:00:23       0.1321    0.1307
        30   RobustScaler ExtremeRandomTrees                0:00:23       0.1312    0.1307
        31   MinMaxScaler LightGBM                          0:00:22       0.1310    0.1307
        32   RobustScaler ExtremeRandomTrees                0:00:23       0.1316    0.1307
        33   RobustScaler RandomForest                      0:00:23       0.1310    0.1307
        34   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_74056a2d-9474-4434-86a9-8c3106df88b5_34/outputs/scoring_file_v_1_0_0.py?sv=2019-02-02&sr=b&sig=D6i%2F6NPDqm7bWrHPY2ItMcxnz25QQUpymTCFgnhz7oc%3D&st=2020-10-01T09%3A54%3A34Z&se=2020-10-02T10%3A04%3A34Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
MinMaxScaler ExtremeRandomTrees                0:03:08       0.1312    0.1307
        35   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_74056a2d-9474-4434-86a9-8c3106df88b5_35/outputs/conda_env_v_1_0_0.yml?sv=2019-02-02&sr=b&sig=tLwhORhgMeIiTtG%2FzQtkqQXrIvqVc01vFEHSnOdiTjw%3D&st=2020-10-01T09%3A57%3A39Z&se=2020-10-02T10%3A07%3A39Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_74056a2d-9474-4434-86a9-8c3106df88b5_35/outputs/pipeline_graph.json?sv=2019-02-02&sr=b&sig=IvYCLZu8JndBFZpSQoysU8OGDi5XEyUWIH47rUjppx4%3D&st=2020-10-01T09%3A57%3A39Z&se=2020-10-02T10%3A07%3A39Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
StandardScalerWrapper ExtremeRandomTrees       0:00:27       0.1309    0.1307
        36   MinMaxScaler ExtremeRandomTrees                0:00:23       0.1308    0.1307
        37   RobustScaler ExtremeRandomTrees                0:00:23       0.1309    0.1307
        38   MinMaxScaler ExtremeRandomTrees                0:00:24       0.1311    0.1307
        39   MinMaxScaler ExtremeRandomTrees                0:00:26       0.1310    0.1307
        40   MinMaxScaler ExtremeRandomTrees                0:00:24       0.1315    0.1307
        41   RobustScaler ExtremeRandomTrees                0:00:23       0.1313    0.1307
        42   RobustScaler ExtremeRandomTrees                0:00:38       0.1313    0.1307
        43   RobustScaler RandomForest                      0:00:24       0.1318    0.1307
        44   MinMaxScaler RandomForest                      0:00:23       0.1315    0.1307
        45   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.1307    0.1307
        46   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.1313    0.1307
        47   StandardScalerWrapper ExtremeRandomTrees       0:00:28       0.1310    0.1307
        48   RobustScaler RandomForest                      0:00:23       0.1312    0.1307
        49   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_74056a2d-9474-4434-86a9-8c3106df88b5_49/outputs/scoring_file_v_1_0_0.py?sv=2019-02-02&sr=b&sig=RhU8QjOdZVI9LOfvb4z5yKhSmEmsy%2BehAVZMNnWL5YA%3D&st=2020-10-01T10%3A03%3A41Z&se=2020-10-02T10%3A13%3A41Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
RobustScaler ExtremeRandomTrees                0:03:03       0.1309    0.1307
        50   MinMaxScaler ExtremeRandomTrees                0:00:25       0.1312    0.1307
        51   MinMaxScaler ExtremeRandomTrees                0:00:23       0.1315    0.1307
        52   RobustScaler ExtremeRandomTrees                0:00:24       0.1313    0.1307
        53   StandardScalerWrapper ExtremeRandomTrees       0:00:20       0.1309    0.1307
        54   MinMaxScaler ExtremeRandomTrees                0:00:23       0.1313    0.1307
        55   RobustScaler ExtremeRandomTrees                0:00:28       0.1306    0.1306
        56   StandardScalerWrapper RandomForest             0:00:35       0.1313    0.1306
        57   MinMaxScaler ExtremeRandomTrees                0:00:27       0.1306    0.1306
        58   StandardScalerWrapper ExtremeRandomTrees       0:00:28       0.1305    0.1305
        59   StandardScalerWrapper ExtremeRandomTrees       0:00:29       0.1314    0.1305
        60   RobustScaler ExtremeRandomTrees                0:00:27       0.1310    0.1305
        61   StandardScalerWrapper ExtremeRandomTrees       0:00:22       0.1314    0.1305
        62   RobustScaler RandomForest                      0:00:23       0.1313    0.1305
        63   MinMaxScaler ExtremeRandomTrees                0:00:24       0.1307    0.1305
        64   RobustScaler ExtremeRandomTrees                0:00:23       0.1311    0.1305
        65   StandardScalerWrapper ExtremeRandomTrees       0:00:22       0.1311    0.1305
        66   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.1307    0.1305
        67   StandardScalerWrapper GradientBoosting         0:00:24       0.1309    0.1305
        68   StandardScalerWrapper ExtremeRandomTrees       0:00:22       0.1315    0.1305
        69   MinMaxScaler ExtremeRandomTrees                0:00:29       0.1305    0.1305
        70   RobustScaler ExtremeRandomTrees                0:00:24       0.1313    0.1305
        71   StandardScalerWrapper RandomForest             0:00:25       0.1308    0.1305
        72   StandardScalerWrapper RandomForest             0:00:22       0.1310    0.1305
        73   MinMaxScaler ExtremeRandomTrees                0:00:20       0.1308    0.1305
        74   MinMaxScaler ExtremeRandomTrees                0:00:34       0.1310    0.1305
        75   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.1330    0.1305
        76   RobustScaler RandomForest                      0:00:20       0.1310    0.1305
        77   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.1313    0.1305
        78   RobustScaler ExtremeRandomTrees                0:00:25       0.1308    0.1305
        79   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.1312    0.1305
        80   MinMaxScaler ExtremeRandomTrees                0:00:26       0.1307    0.1305
        81   WARNING - Retrying (Retry(total=2, connect=2, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fd4fd9821d0>: Failed to establish a new connection: [Errno 111] Connection refused')': /history/v1.0/subscriptions/ac2bf819-e9d3-4a00-aa62-b57c563691f9/resourceGroups/automl-rg/providers/Microsoft.MachineLearningServices/workspaces/automl-ws/experimentids/28038141-2afe-454e-92ff-915f864fc0d1/runs/AutoML_74056a2d-9474-4434-86a9-8c3106df88b5_81
StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.1312    0.1305
        82   RobustScaler ExtremeRandomTrees                0:00:31       0.1306    0.1305
        83   RobustScaler GradientBoosting                  0:00:23       0.1308    0.1305
        84   RobustScaler ExtremeRandomTrees                0:00:18       0.1316    0.1305
        85   RobustScaler ExtremeRandomTrees                0:00:25       0.1313    0.1305
        86   RobustScaler RandomForest                      0:00:25       0.1312    0.1305
        87   MinMaxScaler RandomForest                      0:00:25       0.1312    0.1305
        88   StandardScalerWrapper RandomForest             0:00:25       0.1309    0.1305
        89   MinMaxScaler ExtremeRandomTrees                0:00:25       0.1311    0.1305
        90   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.1311    0.1305
        91   StandardScalerWrapper ExtremeRandomTrees       0:00:23       0.1311    0.1305
        92   StandardScalerWrapper ExtremeRandomTrees       0:00:27       0.1310    0.1305
        93   StandardScalerWrapper ExtremeRandomTrees       0:01:31       0.1309    0.1305
        94   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_74056a2d-9474-4434-86a9-8c3106df88b5_94/outputs/scoring_file_v_1_0_0.py?sv=2019-02-02&sr=b&sig=wGUrCDzNQTqmxDwymSLEd80H2wFZM9s1EJNc7Rj%2B39g%3D&st=2020-10-01T10%3A26%3A27Z&se=2020-10-02T10%3A36%3A27Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
RobustScaler RandomForest                      0:01:58       0.1310    0.1305
        95   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.1312    0.1305
        96   StandardScalerWrapper RandomForest             0:00:26       0.1312    0.1305
        97   StandardScalerWrapper RandomForest             0:00:26       0.1316    0.1305
        98   RobustScaler ExtremeRandomTrees                0:00:29       0.1315    0.1305
        99   RobustScaler ExtremeRandomTrees                0:00:28       0.1314    0.1305
       100   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.1315    0.1305
       101   RobustScaler RandomForest                      0:00:23       0.1311    0.1305
       102   MinMaxScaler RandomForest                      0:00:23       0.1309    0.1305
       103   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.1306    0.1305
       104   StandardScalerWrapper RandomForest             0:00:23       0.1317    0.1305
       105   StandardScalerWrapper ExtremeRandomTrees       0:00:26       0.1312    0.1305
       106   RobustScaler ExtremeRandomTrees                0:00:19       0.1310    0.1305
       107   RobustScaler RandomForest                      0:00:25       0.1309    0.1305
       108   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.1309    0.1305
       109   RobustScaler LightGBM                          0:00:21       0.1313    0.1305
       110   MinMaxScaler ExtremeRandomTrees                0:00:26       0.1306    0.1305
       111   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.1312    0.1305
       112   StandardScalerWrapper ExtremeRandomTrees       0:00:23       0.1310    0.1305
       113   MinMaxScaler ExtremeRandomTrees                0:00:26       0.1312    0.1305
       114   RobustScaler ExtremeRandomTrees                0:00:32       0.1311    0.1305
       115   MinMaxScaler ExtremeRandomTrees                0:00:24       0.1316    0.1305
       116   StandardScalerWrapper ExtremeRandomTrees       0:00:31       0.1306    0.1305
       117   MinMaxScaler RandomForest                      0:00:30       0.1310    0.1305
       118   RobustScaler ExtremeRandomTrees                0:00:26       0.1313    0.1305
       119   MinMaxScaler ExtremeRandomTrees                0:00:20       0.1311    0.1305
       120   RobustScaler ExtremeRandomTrees                0:00:29       0.1310    0.1305
       121   RobustScaler ExtremeRandomTrees                0:00:27       0.1312    0.1305
       122   RobustScaler ExtremeRandomTrees                0:00:23       0.1311    0.1305
       123   RobustScaler ExtremeRandomTrees                0:00:27       0.1316    0.1305
       124   MinMaxScaler RandomForest                      0:00:27       0.1309    0.1305
       125   MinMaxScaler ExtremeRandomTrees                0:00:24       0.1315    0.1305
       126   StandardScalerWrapper ExtremeRandomTrees       0:00:26       0.1312    0.1305
       127   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.1313    0.1305
       128   RobustScaler RandomForest                      0:00:25       0.1310    0.1305
       129   StandardScalerWrapper ExtremeRandomTrees       0:00:23       0.1314    0.1305
       130   StandardScalerWrapper ExtremeRandomTrees       0:00:23       0.1312    0.1305
       131   StandardScalerWrapper RandomForest             0:00:27       0.1311    0.1305
       132   StandardScalerWrapper ExtremeRandomTrees       0:00:26       0.1313    0.1305
       133   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_74056a2d-9474-4434-86a9-8c3106df88b5_133/outputs/conda_env_v_1_0_0.yml?sv=2019-02-02&sr=b&sig=E6D9M6qmlXyKl5nseeoAoCjwr3cRBFIeauP7kYKOhto%3D&st=2020-10-01T10%3A44%3A54Z&se=2020-10-02T10%3A54%3A54Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
StandardScalerWrapper ExtremeRandomTrees       0:03:07       0.1314    0.1305
       134   MinMaxScaler ExtremeRandomTrees                0:00:23       0.1313    0.1305
       135   StandardScalerWrapper ExtremeRandomTrees       0:00:27       0.1307    0.1305
       136   StandardScalerWrapper ExtremeRandomTrees       0:00:27       0.1312    0.1305
       137   StandardScalerWrapper ExtremeRandomTrees       0:00:29       0.1308    0.1305
       138   StandardScalerWrapper RandomForest             0:00:23       0.1310    0.1305
       139   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.1312    0.1305
       140   StandardScalerWrapper ExtremeRandomTrees       0:00:28       0.1316    0.1305
