WARNING - Received unrecognized parameter ensemble_download_models_timeout_sec
Running on local machine
Parent Run ID: AutoML_ba5b4120-4690-4320-9e52-3b97cde8155b

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2223)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:22       0.1329    0.1329
         1   MinMaxScaler DecisionTree                      0:00:22       0.1335    0.1329
         2   StandardScalerWrapper LassoLars                0:00:22       0.1415    0.1329
         3   RobustScaler ElasticNet                        0:00:16       0.1405    0.1329
         4   StandardScalerWrapper LassoLars                0:00:22       0.1414    0.1329
         5   RobustScaler ElasticNet                        0:00:22       0.1414    0.1329
         6   RobustScaler DecisionTree                      0:00:22       0.1329    0.1329
         7   MinMaxScaler DecisionTree                      0:00:21       0.1388    0.1329
         8   RobustScaler DecisionTree                      0:00:23       0.1321    0.1321
         9   MinMaxScaler DecisionTree                      0:00:23       0.1336    0.1321
        10   StandardScalerWrapper DecisionTree             0:00:21       0.1330    0.1321
        11   StandardScalerWrapper DecisionTree             0:00:22       0.1332    0.1321
        12   RobustScaler DecisionTree                      0:00:23       0.1332    0.1321
        13   RobustScaler ElasticNet                        0:00:23       0.1400    0.1321
        14   StandardScalerWrapper DecisionTree             0:00:21       0.1340    0.1321
        15   MinMaxScaler DecisionTree                      0:00:23       0.1336    0.1321
        16   MinMaxScaler DecisionTree                      0:00:22       0.1332    0.1321
        17   RobustScaler DecisionTree                      0:00:22       0.1334    0.1321
        18   RobustScaler DecisionTree                      0:00:22       0.1328    0.1321
        19   StandardScalerWrapper DecisionTree             0:00:21       0.1339    0.1321
        20   StandardScalerWrapper DecisionTree             0:00:23       0.1351    0.1321
        21   StandardScalerWrapper ExtremeRandomTrees       0:00:26       0.1311    0.1311
        22   MinMaxScaler LightGBM                          0:00:23       0.1311    0.1311
        23   MinMaxScaler DecisionTree                      0:00:24       0.1352    0.1311
        24   MinMaxScaler DecisionTree                      0:00:23       0.1330    0.1311
        25   MinMaxScaler LightGBM                          0:00:23       0.1318    0.1311
        26   StandardScalerWrapper RandomForest             0:00:23       0.1314    0.1311
        27   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.1308    0.1308
        28   RobustScaler ExtremeRandomTrees                0:00:24       0.1316    0.1308
        29   MinMaxScaler ExtremeRandomTrees                0:00:25       0.1309    0.1308
