WARNING - Received unrecognized parameter ensemble_download_models_timeout_sec
Running on local machine
Parent Run ID: AutoML_a6013bc4-9d9e-45e8-bcaa-7aea37a91bf0

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2223)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:22       0.1328    0.1328
         1   MinMaxScaler DecisionTree                      0:00:21       0.1335    0.1328
         2   StandardScalerWrapper LassoLars                0:00:21       0.1415    0.1328
         3   RobustScaler ElasticNet                        0:00:22       0.1405    0.1328
         4   StandardScalerWrapper LassoLars                0:00:22       0.1414    0.1328
         5   RobustScaler ElasticNet                        0:00:23       0.1414    0.1328
         6   RobustScaler DecisionTree                      0:00:16       0.1329    0.1328
         7   MinMaxScaler DecisionTree                      0:00:17       0.1382    0.1328
         8   RobustScaler DecisionTree                      0:00:22       0.1322    0.1322
         9   MinMaxScaler DecisionTree                      0:00:22       0.1341    0.1322
        10   StandardScalerWrapper DecisionTree             0:00:15       0.1331    0.1322
        11   StandardScalerWrapper DecisionTree             0:00:22       0.1330    0.1322
        12   RobustScaler DecisionTree                      0:00:16       0.1334    0.1322
        13   RobustScaler ElasticNet                        0:00:18       0.1400    0.1322
        14   StandardScalerWrapper DecisionTree             0:00:21       0.1346    0.1322
        15   MinMaxScaler DecisionTree                      0:00:17       0.1348    0.1322
        16   MinMaxScaler DecisionTree                      0:00:22       0.1330    0.1322
        17   RobustScaler DecisionTree                      0:00:22       0.1337    0.1322
        18   RobustScaler DecisionTree                      0:00:17       0.1326    0.1322
        19   StandardScalerWrapper DecisionTree             0:00:23       0.1337    0.1322
        20   StandardScalerWrapper DecisionTree             0:00:22       0.1357    0.1322
        21   StandardScalerWrapper ExtremeRandomTrees       0:00:23       0.1308    0.1308
        22   MinMaxScaler LightGBM                          0:00:22       0.1311    0.1308
        23   MinMaxScaler DecisionTree                      0:00:23       0.1349    0.1308
        24   MinMaxScaler DecisionTree                      0:00:23       0.1324    0.1308
        25   MinMaxScaler ExtremeRandomTrees                0:00:23       0.1305    0.1305
        26   MinMaxScaler ExtremeRandomTrees                0:00:22       0.1310    0.1305
        27   StandardScalerWrapper RandomForest             0:00:25       0.1311    0.1305
        28   StandardScalerWrapper ExtremeRandomTrees       0:00:27       0.1308    0.1305
        29   RobustScaler RandomForest                      0:00:23       0.1321    0.1305
        30   RobustScaler ExtremeRandomTrees                0:00:24       0.1314    0.1305
        31   MinMaxScaler LightGBM                          0:00:23       0.1310    0.1305
        32   RobustScaler ExtremeRandomTrees                0:00:31       0.1315    0.1305
        33   RobustScaler RandomForest                      0:00:23       0.1310    0.1305
        34   MinMaxScaler ExtremeRandomTrees                0:00:27       0.1312    0.1305
        35   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.1308    0.1305
        36   MinMaxScaler ExtremeRandomTrees                0:00:23       0.1308    0.1305
        37   RobustScaler ExtremeRandomTrees                0:00:24       0.1310    0.1305
        38   MinMaxScaler ExtremeRandomTrees                0:00:24       0.1311    0.1305
        39   MinMaxScaler ExtremeRandomTrees                0:00:21       0.1310    0.1305
        40   MinMaxScaler ExtremeRandomTrees                0:00:24       0.1313    0.1305
        41   RobustScaler ExtremeRandomTrees                0:00:23       0.1313    0.1305
        42   RobustScaler ExtremeRandomTrees                0:00:28       0.1313    0.1305
        43   RobustScaler RandomForest                      0:00:25       0.1318    0.1305
        44   MinMaxScaler RandomForest                      0:00:25       0.1315    0.1305
        45   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.1306    0.1305
        46   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.1312    0.1305
        47   StandardScalerWrapper ExtremeRandomTrees       0:00:28       0.1310    0.1305
        48   RobustScaler RandomForest                      0:00:24       0.1313    0.1305
        49   RobustScaler ExtremeRandomTrees                0:00:24       0.1308    0.1305
        50   MinMaxScaler ExtremeRandomTrees                0:00:25       0.1312    0.1305
        51   MinMaxScaler ExtremeRandomTrees                0:00:23       0.1316    0.1305
        52   RobustScaler ExtremeRandomTrees                0:00:23       0.1313    0.1305
        53   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.1310    0.1305
        54   MinMaxScaler ExtremeRandomTrees                0:00:23       0.1312    0.1305
        55   RobustScaler ExtremeRandomTrees                0:00:29       0.1306    0.1305
        56   StandardScalerWrapper RandomForest             0:00:23       0.1314    0.1305
        57   MinMaxScaler ExtremeRandomTrees                0:00:24       0.1306    0.1305
        58   StandardScalerWrapper ExtremeRandomTrees       0:00:29       0.1305    0.1305
        59   StandardScalerWrapper ExtremeRandomTrees       0:00:28       0.1314    0.1305
        60   RobustScaler ExtremeRandomTrees                0:00:27       0.1310    0.1305
        61   RobustScaler RandomForest                      0:00:23       0.1314    0.1305
        62   StandardScalerWrapper ExtremeRandomTrees       0:00:23       0.1316    0.1305
        63   MinMaxScaler ExtremeRandomTrees                0:00:25       0.1307    0.1305
        64   RobustScaler ExtremeRandomTrees                0:00:25       0.1312    0.1305
        65   StandardScalerWrapper ExtremeRandomTrees       0:00:23       0.1312    0.1305
        66   StandardScalerWrapper ExtremeRandomTrees       0:00:26       0.1307    0.1305
        67   StandardScalerWrapper GradientBoosting         0:00:23       0.1310    0.1305
        68   StandardScalerWrapper ExtremeRandomTrees       0:00:23       0.1317    0.1305
        69   MinMaxScaler ExtremeRandomTrees                0:00:30       0.1305    0.1305
        70   RobustScaler ExtremeRandomTrees                0:00:24       0.1313    0.1305
        71   StandardScalerWrapper RandomForest             0:00:24       0.1307    0.1305
        72   StandardScalerWrapper RandomForest             0:00:24       0.1311    0.1305
        73   MinMaxScaler ExtremeRandomTrees                0:00:25       0.1308    0.1305
        74   MinMaxScaler ExtremeRandomTrees                0:00:24       0.1310    0.1305
        75   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.1332    0.1305
        76   RobustScaler RandomForest                      0:00:26       0.1311    0.1305
        77   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.1313    0.1305
        78   RobustScaler ExtremeRandomTrees                0:00:23       0.1315    0.1305
        79   RobustScaler RandomForest                      0:00:24       0.1312    0.1305
        80   StandardScalerWrapper ExtremeRandomTrees       0:00:23       0.1309    0.1305
        81   MinMaxScaler RandomForest                      0:00:25       0.1312    0.1305
        82   StandardScalerWrapper ExtremeRandomTrees       0:00:26       0.1309    0.1305
        83   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.1312    0.1305
        84   RobustScaler ExtremeRandomTrees                0:00:25       0.1308    0.1305
        85   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.1311    0.1305
        86   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.1312    0.1305
        87   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.1312    0.1305
        88   RobustScaler ExtremeRandomTrees                0:00:33       0.1306    0.1305
        89   StandardScalerWrapper RandomForest             0:00:25       0.1309    0.1305
        90   MinMaxScaler ExtremeRandomTrees                0:00:26       0.1308    0.1305
        91   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_a6013bc4-9d9e-45e8-bcaa-7aea37a91bf0_91/outputs/conda_env_v_1_0_0.yml?sv=2019-02-02&sr=b&sig=SGz6SOt8u3wcTPJ6RDU1G%2F1XlfqSwENvPxq1g33z9VI%3D&st=2020-10-02T12%3A04%3A49Z&se=2020-10-03T12%3A14%3A49Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
MinMaxScaler ExtremeRandomTrees                0:03:07       0.1311    0.1305
        92   RobustScaler GradientBoosting                  0:00:23       0.1308    0.1305
        93   StandardScalerWrapper ExtremeRandomTrees       0:00:23       0.1312    0.1305
        94   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_a6013bc4-9d9e-45e8-bcaa-7aea37a91bf0_94/outputs/model.pkl?sv=2019-02-02&sr=b&sig=W970V9nXvjoso5odAndWLgenVymDApc0m4YCwDoNIYo%3D&st=2020-10-02T12%3A08%3A48Z&se=2020-10-03T12%3A18%3A48Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
StandardScalerWrapper ExtremeRandomTrees       0:03:02       0.1310    0.1305
        95   RobustScaler ExtremeRandomTrees                0:00:25       0.1312    0.1305
        96   RobustScaler RandomForest                      0:00:26       0.1311    0.1305
        97   StandardScalerWrapper RandomForest             0:00:27       0.1312    0.1305
        98   StandardScalerWrapper RandomForest             0:00:23       0.1314    0.1305
        99   RobustScaler ExtremeRandomTrees                0:00:27       0.1315    0.1305
       100   RobustScaler ExtremeRandomTrees                0:00:24       0.1317    0.1305
       101   MinMaxScaler RandomForest                      0:00:24       0.1308    0.1305
       102   RobustScaler RandomForest                      0:00:25       0.1312    0.1305
       103   StandardScalerWrapper ExtremeRandomTrees       0:00:26       0.1306    0.1305
       104   RobustScaler ExtremeRandomTrees                0:00:26       0.1314    0.1305
       105   StandardScalerWrapper ExtremeRandomTrees       0:00:26       0.1312    0.1305
       106   StandardScalerWrapper RandomForest             0:00:24       0.1316    0.1305
       107   RobustScaler ExtremeRandomTrees                0:00:25       0.1310    0.1305
       108   RobustScaler RandomForest                      0:00:23       0.1309    0.1305
       109   RobustScaler LightGBM                          0:00:22       0.1313    0.1305
       110   MinMaxScaler ExtremeRandomTrees                0:00:25       0.1306    0.1305
       111   RobustScaler ExtremeRandomTrees                0:00:31       0.1310    0.1305
       112   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.1313    0.1305
       113   MinMaxScaler ExtremeRandomTrees                0:00:24       0.1310    0.1305
       114   RobustScaler ExtremeRandomTrees                0:00:23       0.1310    0.1305
       115   MinMaxScaler ExtremeRandomTrees                0:00:24       0.1315    0.1305
       116   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.1308    0.1305
       117   StandardScalerWrapper ExtremeRandomTrees       0:00:29       0.1311    0.1305
       118   RobustScaler ExtremeRandomTrees                0:00:26       0.1316    0.1305
       119   StandardScalerWrapper RandomForest             0:00:27       0.1310    0.1305
       120   RobustScaler ExtremeRandomTrees                0:00:26       0.1311    0.1305
       121   StandardScalerWrapper ExtremeRandomTrees       0:00:28       0.1306    0.1305
       122   StandardScalerWrapper ExtremeRandomTrees       0:00:23       0.1312    0.1305
       123   MinMaxScaler RandomForest                      0:00:29       0.1310    0.1305
       124   RobustScaler ExtremeRandomTrees                0:00:31       0.1312    0.1305
