Running on local machine
Parent Run ID: AutoML_53493349-e656-48e8-8bd0-89f4f1e61ac3

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0', Max_Horizon = '6'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 6)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:17       0.0946    0.0946
         1   MinMaxScaler DecisionTree                      0:00:21       0.0957    0.0946
         2   StandardScalerWrapper LassoLars                0:00:22       0.1062    0.0946
         3   RobustScaler ElasticNet                        0:00:21       0.1029    0.0946
         4   StandardScalerWrapper LassoLars                0:00:22       0.1061    0.0946
         5   RobustScaler ElasticNet                        0:00:22       0.1062    0.0946
         6   RobustScaler DecisionTree                      0:00:21       0.0932    0.0932
         7   MinMaxScaler DecisionTree                      0:00:21       0.1101    0.0932
         8   RobustScaler DecisionTree                      0:00:21       0.0837    0.0837
         9   MinMaxScaler DecisionTree                      0:00:21       0.1002    0.0837
        10   StandardScalerWrapper DecisionTree             0:00:22       0.1005    0.0837
        11   StandardScalerWrapper DecisionTree             0:00:31       0.0939    0.0837
        12   RobustScaler DecisionTree                      0:00:21       0.1018    0.0837
        13   RobustScaler ElasticNet                        0:00:21       0.1006    0.0837
        14   StandardScalerWrapper DecisionTree             0:00:21       0.0976    0.0837
        15   MinMaxScaler DecisionTree                      0:00:21       0.1097    0.0837
        16   MinMaxScaler DecisionTree                      0:00:21       0.0927    0.0837
        17   RobustScaler DecisionTree                      0:00:24       0.0959    0.0837
        18   RobustScaler DecisionTree                      0:00:21       0.0922    0.0837
        19   StandardScalerWrapper DecisionTree             0:00:21       0.0935    0.0837
        20   StandardScalerWrapper DecisionTree             0:00:22       0.0959    0.0837
        21   StandardScalerWrapper ExtremeRandomTrees       0:00:23       0.0879    0.0837
        22   MinMaxScaler LightGBM                          0:00:21       0.0914    0.0837
        23   MinMaxScaler DecisionTree                      0:00:21       0.0908    0.0837
        24   MinMaxScaler ExtremeRandomTrees                0:00:27       0.0831    0.0831
        25   MinMaxScaler ExtremeRandomTrees                0:00:23       0.0861    0.0831
        26   StandardScalerWrapper RandomForest             0:00:23       0.0862    0.0831
        27   StandardScalerWrapper ExtremeRandomTrees       0:00:22       0.0907    0.0831
        28   RobustScaler RandomForest                      0:00:23       0.0903    0.0831
        29   StandardScalerWrapper RandomForest             0:00:22       0.0920    0.0831
