Running on local machine
Parent Run ID: AutoML_b35b7d7e-e1ea-4bb1-a83d-86004f5c4880

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0', Max_Horizon = '6'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 6)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:26       0.0935    0.0935
         1   MinMaxScaler DecisionTree                      0:00:21       0.0925    0.0925
         2   StandardScalerWrapper LassoLars                0:00:22       0.1062    0.0925
         3   RobustScaler ElasticNet                        0:00:22       0.1029    0.0925
         4   StandardScalerWrapper LassoLars                0:00:21       0.1061    0.0925
         5   RobustScaler ElasticNet                        0:00:21       0.1062    0.0925
         6   RobustScaler DecisionTree                      0:00:16       0.0950    0.0925
         7   MinMaxScaler DecisionTree                      0:00:22       0.1337    0.0925
         8   RobustScaler DecisionTree                      0:00:17       0.0920    0.0920
         9   MinMaxScaler DecisionTree                      0:00:21       0.0911    0.0911
        10   StandardScalerWrapper DecisionTree             0:00:21       0.0864    0.0864
        11   StandardScalerWrapper DecisionTree             0:00:21       0.0915    0.0864
        12   RobustScaler DecisionTree                      0:00:21       0.1055    0.0864
        13   RobustScaler ElasticNet                        0:00:21       0.1006    0.0864
        14   StandardScalerWrapper DecisionTree             0:00:21       0.0946    0.0864
        15   MinMaxScaler DecisionTree                      0:00:20       0.1055    0.0864
        16   MinMaxScaler DecisionTree                      0:00:20       0.0886    0.0864
        17   RobustScaler DecisionTree                      0:00:23       0.0976    0.0864
        18   RobustScaler DecisionTree                      0:00:22       0.0905    0.0864
        19   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_b35b7d7e-e1ea-4bb1-a83d-86004f5c4880_19/outputs/env_dependencies.json?sv=2019-02-02&sr=b&sig=8RWhnTLAjb5NuvsdRiWafiZawUx8d2ZQhQIqAXWhFSE%3D&st=2020-09-29T10%3A15%3A39Z&se=2020-09-30T10%3A25%3A39Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_b35b7d7e-e1ea-4bb1-a83d-86004f5c4880_19/outputs/scoring_file_v_1_0_0.py?sv=2019-02-02&sr=b&sig=LZrTmyelJwFBf5dHAXU8sYlBBaxSQb0dwj84DX3vxYs%3D&st=2020-09-29T10%3A15%3A39Z&se=2020-09-30T10%3A25%3A39Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
StandardScalerWrapper DecisionTree             0:03:07       0.0928    0.0864
        20   MinMaxScaler LightGBM                          0:00:22       0.0914    0.0864
        21   StandardScalerWrapper DecisionTree             0:00:22       0.1097    0.0864
        22   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_b35b7d7e-e1ea-4bb1-a83d-86004f5c4880_22/outputs/pipeline_graph.json?sv=2019-02-02&sr=b&sig=vSah3E14byTVAahleGj%2BIV%2Bvn%2F41fTQbSKYeevLzkgE%3D&st=2020-09-29T10%3A19%3A33Z&se=2020-09-30T10%3A29%3A33Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
StandardScalerWrapper ExtremeRandomTrees       0:03:06       0.0873    0.0864
        23   MinMaxScaler DecisionTree                      0:00:24       0.0943    0.0864
        24   MinMaxScaler DecisionTree                      0:00:22       0.0913    0.0864
        25   RobustScaler DecisionTree                      0:00:22       0.1045    0.0864
        26   MinMaxScaler ExtremeRandomTrees                0:00:26       0.0831    0.0831
        27   StandardScalerWrapper ExtremeRandomTrees       0:00:23       0.0888    0.0831
        28   RobustScaler RandomForest                      0:00:24       0.0900    0.0831
        29   StandardScalerWrapper RandomForest             0:00:23       0.0873    0.0831
        30   RobustScaler ExtremeRandomTrees                0:00:24       0.0759    0.0759
        31   MinMaxScaler LightGBM                          0:00:22       0.0907    0.0759
        32   RobustScaler ExtremeRandomTrees                0:00:23       0.0927    0.0759
        33   RobustScaler RandomForest                      0:00:23       0.0883    0.0759
        34   MinMaxScaler ExtremeRandomTrees                0:00:27       0.0763    0.0759
        35   StandardScalerWrapper ExtremeRandomTrees       0:00:30       0.0781    0.0759
        36   MinMaxScaler ExtremeRandomTrees                0:00:25       0.0875    0.0759
        37   RobustScaler ExtremeRandomTrees                0:00:23       0.0823    0.0759
        38   MinMaxScaler ExtremeRandomTrees                0:00:25       0.0873    0.0759
        39   MinMaxScaler ExtremeRandomTrees                0:00:26       0.0905    0.0759
        40   MinMaxScaler ExtremeRandomTrees                0:00:24       0.0837    0.0759
        41   RobustScaler ExtremeRandomTrees                0:00:23       0.0838    0.0759
        42   RobustScaler ExtremeRandomTrees                0:00:23       0.0824    0.0759
        43   RobustScaler ExtremeRandomTrees                0:00:25       0.0802    0.0759
        44   MinMaxScaler ExtremeRandomTrees                0:00:26       0.0860    0.0759
        45   StandardScalerWrapper ExtremeRandomTrees       0:00:26       0.0842    0.0759
        46   StandardScalerWrapper RandomForest             0:00:23       0.0875    0.0759
        47   StandardScalerWrapper ExtremeRandomTrees       0:00:22       0.0863    0.0759
        48   MinMaxScaler ExtremeRandomTrees                0:00:23       0.0821    0.0759
        49   RobustScaler ExtremeRandomTrees                0:00:24       0.0829    0.0759
        50   RobustScaler ExtremeRandomTrees                0:00:30       0.0817    0.0759
        51   RobustScaler RandomForest                      0:00:23       0.0870    0.0759
        52   StandardScalerWrapper ExtremeRandomTrees       0:00:29       0.0844    0.0759
        53   StandardScalerWrapper ExtremeRandomTrees       0:00:26       0.0827    0.0759
        54   StandardScalerWrapper ExtremeRandomTrees       0:00:27       0.0832    0.0759
        55   MinMaxScaler ExtremeRandomTrees                0:00:24       0.0797    0.0759
        56   RobustScaler RandomForest                      0:00:23       0.0921    0.0759
        57   MinMaxScaler RandomForest                      0:00:23       0.0834    0.0759
        58   RobustScaler ExtremeRandomTrees                0:00:23       0.0780    0.0759
        59   StandardScalerWrapper ExtremeRandomTrees       0:00:27       0.0814    0.0759
        60   RobustScaler ExtremeRandomTrees                0:00:26       0.0796    0.0759
        61   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.0813    0.0759
        62   StandardScalerWrapper RandomForest             0:00:24       0.0900    0.0759
        63   RobustScaler RandomForest                      0:00:24       0.0856    0.0759
        64   RobustScaler ExtremeRandomTrees                0:00:25       0.0830    0.0759
        65   StandardScalerWrapper ExtremeRandomTrees       0:00:23       0.0811    0.0759
        66   RobustScaler RandomForest                      0:00:27       0.0885    0.0759
        67   StandardScalerWrapper ExtremeRandomTrees       0:00:23       0.0801    0.0759
        68   StandardScalerWrapper GradientBoosting         0:00:24       0.0881    0.0759
        69   StandardScalerWrapper ExtremeRandomTrees       0:00:26       0.0873    0.0759
        70   MinMaxScaler ExtremeRandomTrees                0:00:25       0.0785    0.0759
        71   StandardScalerWrapper RandomForest             0:00:24       0.0856    0.0759
        72   MinMaxScaler ExtremeRandomTrees                0:00:29       0.0869    0.0759
        73   RobustScaler RandomForest                      0:00:30       0.0873    0.0759
        74   MinMaxScaler ExtremeRandomTrees                0:00:24       0.0834    0.0759
        75   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.0797    0.0759
        76   MinMaxScaler ExtremeRandomTrees                0:00:24       0.0846    0.0759
        77   MinMaxScaler ExtremeRandomTrees                0:00:23       0.0830    0.0759
        78   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.0803    0.0759
        79   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.0813    0.0759
        80   RobustScaler ExtremeRandomTrees                0:00:19       0.0730    0.0730
        81   MinMaxScaler ExtremeRandomTrees                0:00:25       0.0859    0.0730
        82   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.0819    0.0730
        83   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_b35b7d7e-e1ea-4bb1-a83d-86004f5c4880_83/outputs/env_dependencies.json?sv=2019-02-02&sr=b&sig=siJhz5eSc96bXfqMBmWHDY3FOK1Y8LM8XUvsn9z5Tco%3D&st=2020-09-29T10%3A47%3A53Z&se=2020-09-30T10%3A57%3A53Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
RobustScaler ExtremeRandomTrees                0:03:13       0.0879    0.0730
        84   MinMaxScaler RandomForest                      0:00:25       0.0878    0.0730
        85   MinMaxScaler ExtremeRandomTrees                0:00:31       0.0852    0.0730
        86   RobustScaler ExtremeRandomTrees                0:00:28       0.0789    0.0730
        87   StandardScalerWrapper RandomForest             0:00:27       0.0899    0.0730
        88   RobustScaler GradientBoosting                  0:00:24       0.0865    0.0730
        89   StandardScalerWrapper RandomForest             0:00:29       0.0864    0.0730
        90   RobustScaler ExtremeRandomTrees                0:00:24       0.0775    0.0730
        91   MinMaxScaler ExtremeRandomTrees                0:00:25       0.0823    0.0730
        92   RobustScaler ExtremeRandomTrees                0:00:25       0.0812    0.0730
        93   StandardScalerWrapper ExtremeRandomTrees       0:00:26       0.0820    0.0730
        94   StandardScalerWrapper RandomForest             0:00:19       0.0897    0.0730
        95   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.0797    0.0730
        96   RobustScaler RandomForest                      0:00:23       0.0898    0.0730
        97   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_b35b7d7e-e1ea-4bb1-a83d-86004f5c4880_97/outputs/model.pkl?sv=2019-02-02&sr=b&sig=aErBpK33hAk5krKTUtX3OI1f7d20yxcAVy7V4QQchLY%3D&st=2020-09-29T10%3A56%3A39Z&se=2020-09-30T11%3A06%3A39Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_b35b7d7e-e1ea-4bb1-a83d-86004f5c4880_97/outputs/conda_env_v_1_0_0.yml?sv=2019-02-02&sr=b&sig=n5WkCGHddjXUhlL4wzHMo%2ByjXSTf1eonX48LFPeU4oY%3D&st=2020-09-29T10%3A56%3A39Z&se=2020-09-30T11%3A06%3A39Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_b35b7d7e-e1ea-4bb1-a83d-86004f5c4880_97/outputs/scoring_file_v_1_0_0.py?sv=2019-02-02&sr=b&sig=QjQPjQr3EyRuK2d%2FhHJRPP%2FgZENmE1wOuEiNnwgJRTo%3D&st=2020-09-29T10%3A56%3A39Z&se=2020-09-30T11%3A06%3A39Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
RobustScaler ExtremeRandomTrees                0:03:04       0.0822    0.0730
        98   RobustScaler RandomForest                      0:00:26       0.0893    0.0730
        99   MinMaxScaler RandomForest                      0:00:25       0.0882    0.0730
       100   StandardScalerWrapper ExtremeRandomTrees       0:00:26       0.0778    0.0730
       101   RobustScaler RandomForest                      0:00:25       0.0844    0.0730
       102   StandardScalerWrapper RandomForest             0:00:25       0.0888    0.0730
       103   RobustScaler ExtremeRandomTrees                0:00:25       0.0808    0.0730
       104   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.0797    0.0730
       105   RobustScaler ExtremeRandomTrees                0:00:24       0.0724    0.0724
       106   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.0806    0.0724
