WARNING - Received unrecognized parameter ensemble_download_models_timeout_sec
Running on local machine
Parent Run ID: AutoML_161d434d-4ccc-4497-8dc7-be716bfbfd86

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2223)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   RobustScaler LassoLars                         0:00:16       0.1819    0.1819
         1   RobustScaler DecisionTree                      0:00:18       0.1773    0.1773
         2   StandardScalerWrapper DecisionTree             0:00:23       0.1759    0.1759
         3   RobustScaler DecisionTree                      0:00:21       0.1772    0.1759
         4   StandardScalerWrapper ElasticNet               0:00:16       0.1814    0.1759
         5   MinMaxScaler DecisionTree                      0:00:22       0.1757    0.1757
         6   MinMaxScaler ElasticNet                        0:00:16       0.1818    0.1757
         7   StandardScalerWrapper DecisionTree             0:00:15       0.1757    0.1757
         8   StandardScalerWrapper DecisionTree             0:00:16       0.1765    0.1757
         9   RobustScaler DecisionTree                      0:00:17       0.1775    0.1757
        10   RobustScaler ElasticNet                        0:00:16       0.1820    0.1757
        11   RobustScaler DecisionTree                      0:00:22       0.1768    0.1757
        12   RobustScaler DecisionTree                      0:00:16       0.1760    0.1757
        13   StandardScalerWrapper DecisionTree             0:00:24       0.1761    0.1757
        14   MinMaxScaler DecisionTree                      0:00:22       0.1767    0.1757
        15   MinMaxScaler DecisionTree                      0:00:21       0.1787    0.1757
        16   RobustScaler DecisionTree                      0:00:16       0.1765    0.1757
        17   StandardScalerWrapper DecisionTree             0:00:21       0.1759    0.1757
        18   MinMaxScaler DecisionTree                      0:00:22       0.1764    0.1757
        19   StandardScalerWrapper LassoLars                0:00:21       0.1820    0.1757
        20   StandardScalerWrapper DecisionTree             0:00:24       0.1772    0.1757
        21   StandardScalerWrapper RandomForest             0:00:41       0.1802    0.1757
        22   StandardScalerWrapper LassoLars                0:00:17       0.1820    0.1757
        23   StandardScalerWrapper RandomForest             0:00:23       0.1754    0.1754
        24   MinMaxScaler RandomForest                      0:00:44       0.1817    0.1754
        25   MaxAbsScaler RandomForest                      0:01:28       0.1817    0.1754
        26   RobustScaler ExtremeRandomTrees                0:00:51       0.1815    0.1754
        27   MaxAbsScaler RandomForest                      0:00:19       0.1750    0.1750
        28   RobustScaler GradientBoosting                  0:00:26       0.1751    0.1750
        29   MinMaxScaler GradientBoosting                  0:00:28       0.1757    0.1750
        30   StandardScalerWrapper RandomForest             0:01:55       0.1816    0.1750
        31   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_161d434d-4ccc-4497-8dc7-be716bfbfd86_31/outputs/model.pkl?sv=2019-02-02&sr=b&sig=zU2s%2FtRMDgKQkFgYbfdHRjL%2Fl6Km1tUJfpsPtlCydaU%3D&st=2021-01-16T14%3A26%3A39Z&se=2021-01-17T14%3A36%3A39Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
MaxAbsScaler GradientBoosting                  0:01:14       0.1821    0.1750
