Running on local machine
Parent Run ID: AutoML_63669f8c-c7bc-4cd6-9501-1174d9ef636e

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2223)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:17       0.1914    0.1914
         1   MinMaxScaler DecisionTree                      0:00:16       0.1925    0.1914
         2   StandardScalerWrapper LassoLars                0:00:16       0.1948    0.1914
         3   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_63669f8c-c7bc-4cd6-9501-1174d9ef636e_3/outputs/env_dependencies.json?sv=2019-02-02&sr=b&sig=H2Ev06kjwL6Zty7AEyF0knEN7GanzwaEHBI26oELqQ0%3D&st=2020-09-29T20%3A49%3A36Z&se=2020-09-30T20%3A59%3A36Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_63669f8c-c7bc-4cd6-9501-1174d9ef636e_3/outputs/pipeline_graph.json?sv=2019-02-02&sr=b&sig=RtMSuiPP9B%2BJwefPkk1nb5Yh9WKYRsars75veZXM%2BEs%3D&st=2020-09-29T20%3A49%3A36Z&se=2020-09-30T20%3A59%3A36Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
RobustScaler ElasticNet                        0:03:07       0.1938    0.1914
         4   StandardScalerWrapper LassoLars                0:00:17       0.1949    0.1914
         5   RobustScaler ElasticNet                        0:00:16       0.1949    0.1914
         6   RobustScaler DecisionTree                      0:00:16       0.1920    0.1914
         7   MinMaxScaler DecisionTree                      0:00:16       0.1997    0.1914
         8   RobustScaler DecisionTree                      0:00:18       0.1901    0.1901
         9   MinMaxScaler DecisionTree                      0:00:32       0.1930    0.1901
        10   StandardScalerWrapper DecisionTree             0:00:33       0.1931    0.1901
        11   StandardScalerWrapper DecisionTree             0:00:17       0.1924    0.1901
        12   RobustScaler DecisionTree                      0:00:17       0.1929    0.1901
        13   RobustScaler ElasticNet                        0:00:18       0.1928    0.1901
        14   StandardScalerWrapper DecisionTree             0:00:16       0.1935    0.1901
        15   MinMaxScaler DecisionTree                      0:00:17       0.1939    0.1901
        16   MinMaxScaler DecisionTree                      0:00:17       0.1922    0.1901
        17   RobustScaler DecisionTree                      0:00:16       0.1924    0.1901
        18   RobustScaler DecisionTree                      0:00:17       0.1910    0.1901
        19   StandardScalerWrapper DecisionTree             0:00:17       0.1933    0.1901
        20   StandardScalerWrapper DecisionTree             0:00:17       0.1956    0.1901
        21   StandardScalerWrapper ExtremeRandomTrees       0:00:18       0.1891    0.1891
        22   MinMaxScaler LightGBM                          0:00:20       0.1888    0.1888
        23   MinMaxScaler DecisionTree                      0:00:18       0.1943    0.1888
        24   MinMaxScaler DecisionTree                      0:00:18       0.1915    0.1888
        25   MinMaxScaler LightGBM                          0:00:17       0.1885    0.1885
        26   StandardScalerWrapper RandomForest             0:00:18       0.1889    0.1885
        27   StandardScalerWrapper ExtremeRandomTrees       0:00:20       0.1888    0.1885
        28   RobustScaler ExtremeRandomTrees                0:00:19       0.1895    0.1885
        29   MinMaxScaler ExtremeRandomTrees                0:00:20       0.1893    0.1885
        30   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_63669f8c-c7bc-4cd6-9501-1174d9ef636e_30/outputs/model.pkl?sv=2019-02-02&sr=b&sig=V4Ux6rmIIGdWLMTtnUbUYdNsb%2BTzQv4KQwdoRnDYKA4%3D&st=2020-09-29T21%3A01%3A05Z&se=2020-09-30T21%3A11%3A05Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
StandardScalerWrapper LightGBM                 0:03:04       0.1882    0.1882
        31   StandardScalerWrapper RandomForest             0:00:19       0.1890    0.1882
        32   StandardScalerWrapper ExtremeRandomTrees       0:00:19       0.1896    0.1882
        33   RobustScaler RandomForest                      0:00:18       0.1908    0.1882
        34   StandardScalerWrapper ExtremeRandomTrees       0:00:22       0.1891    0.1882
        35   MinMaxScaler LightGBM                          0:00:17       0.1884    0.1882
        36   StandardScalerWrapper ExtremeRandomTrees       0:00:21       0.1897    0.1882
        37   RobustScaler ExtremeRandomTrees                0:00:19       0.1898    0.1882
        38   MinMaxScaler RandomForest                      0:00:18       0.1896    0.1882
        39   RobustScaler RandomForest                      0:00:19       0.1907    0.1882
        40   RobustScaler LightGBM                          0:00:18       0.1888    0.1882
        41   RobustScaler ExtremeRandomTrees                0:00:19       0.1904    0.1882
        42   MinMaxScaler ExtremeRandomTrees                0:00:22       0.1883    0.1882
        43   RobustScaler RandomForest                      0:00:19       0.1884    0.1882
        44   RobustScaler ExtremeRandomTrees                0:00:19       0.1886    0.1882
        45   MinMaxScaler LightGBM                          0:00:20       0.1889    0.1882
        46   RobustScaler ExtremeRandomTrees                0:00:24       0.1894    0.1882
        47   StandardScalerWrapper ExtremeRandomTrees       0:00:29       0.1892    0.1882
        48   MinMaxScaler ExtremeRandomTrees                0:00:25       0.1899    0.1882
        49   MinMaxScaler ExtremeRandomTrees                0:00:22       0.1898    0.1882
        50   StandardScalerWrapper LightGBM                 0:00:18       0.1891    0.1882
        51   RobustScaler ExtremeRandomTrees                0:00:19       0.1889    0.1882
        52   RobustScaler RandomForest                      0:00:19       0.1893    0.1882
        53   RobustScaler ExtremeRandomTrees                0:00:18       0.1885    0.1882
        54   MinMaxScaler ExtremeRandomTrees                0:00:19       0.1895    0.1882
        55   RobustScaler LightGBM                          0:00:17       0.1883    0.1882
        56   StandardScalerWrapper RandomForest             0:00:21       0.1889    0.1882
        57   StandardScalerWrapper ExtremeRandomTrees       0:00:26       0.1882    0.1882
        58   StandardScalerWrapper ExtremeRandomTrees       0:00:49       0.1892    0.1882
        59   StandardScalerWrapper ExtremeRandomTrees       0:00:43       0.1895    0.1882
        60   MinMaxScaler LightGBM                          0:00:56       0.2165    0.1882
        61   RobustScaler RandomForest                      0:00:22       0.1894    0.1882
        62   MinMaxScaler DecisionTree                      0:00:47       0.1906    0.1882
        63   MinMaxScaler RandomForest                      0:00:54       0.1890    0.1882
        64   RobustScaler RandomForest                      0:00:33       0.1894    0.1882
        65   MinMaxScaler LightGBM                          0:00:19       0.1883    0.1882
        66   StandardScalerWrapper RandomForest             0:00:21       0.1898    0.1882
        67   MinMaxScaler ExtremeRandomTrees                0:00:23       0.1893    0.1882
        68   RobustScaler ExtremeRandomTrees                0:00:20       0.1890    0.1882
        69   MinMaxScaler ExtremeRandomTrees                0:00:20       0.1893    0.1882
        70   MinMaxScaler LightGBM                          0:00:20       0.1885    0.1882
        71   StandardScalerWrapper ExtremeRandomTrees       0:00:33       0.1892    0.1882
        72   RobustScaler ExtremeRandomTrees                0:00:28       0.1892    0.1882
        73   RobustScaler RandomForest                      0:00:25       0.1895    0.1882
        74   MinMaxScaler ExtremeRandomTrees                0:00:26       0.1885    0.1882
        75   MinMaxScaler LightGBM                          0:00:18       0.1883    0.1882
        76   StandardScalerWrapper RandomForest             0:00:20       0.1893    0.1882
        77   MinMaxScaler ExtremeRandomTrees                0:00:20       0.1894    0.1882
        78   StandardScalerWrapper RandomForest             0:00:21       0.1890    0.1882
        79   RobustScaler ExtremeRandomTrees                0:00:20       0.1890    0.1882
        80   MinMaxScaler LightGBM                          0:00:17       0.1888    0.1882
        81   MinMaxScaler ExtremeRandomTrees                0:00:20       0.1891    0.1882
        82   StandardScalerWrapper GradientBoosting         0:00:18       0.1889    0.1882
        83   StandardScalerWrapper ExtremeRandomTrees       0:00:22       0.1892    0.1882
        84   StandardScalerWrapper RandomForest             0:00:22       0.1890    0.1882
        85   RobustScaler LightGBM                          0:00:19       0.1880    0.1880
        86   StandardScalerWrapper ExtremeRandomTrees       0:00:18       0.1895    0.1880
        87   RobustScaler RandomForest                      0:00:22       0.1888    0.1880
        88   RobustScaler ExtremeRandomTrees                0:00:20       0.1889    0.1880
        89   MinMaxScaler ExtremeRandomTrees                0:00:20       0.1894    0.1880
        90   MinMaxScaler LightGBM                          0:00:18       0.1893    0.1880
        91   MinMaxScaler ExtremeRandomTrees                0:00:20       0.1895    0.1880
        92   StandardScalerWrapper ExtremeRandomTrees       0:00:23       0.1892    0.1880
        93   MinMaxScaler ExtremeRandomTrees                0:00:19       0.1896    0.1880
        94   StandardScalerWrapper ExtremeRandomTrees       0:00:23       0.1886    0.1880
        95   RobustScaler LightGBM                          0:00:22       0.1894    0.1880
        96   MinMaxScaler RandomForest                      0:00:27       0.1894    0.1880
        97   RobustScaler GradientBoosting                  0:00:20       0.1887    0.1880
        98   RobustScaler ExtremeRandomTrees                0:00:28       0.1888    0.1880
        99   RobustScaler ExtremeRandomTrees                0:00:22       0.1888    0.1880
       100   RobustScaler LightGBM                          0:00:17       0.1899    0.1880
       101   StandardScalerWrapper ExtremeRandomTrees       0:00:20       0.1891    0.1880
       102   RobustScaler RandomForest                      0:00:19       0.1894    0.1880
       103   StandardScalerWrapper ExtremeRandomTrees       0:00:19       0.1892    0.1880
       104   StandardScalerWrapper ExtremeRandomTrees       0:00:23       0.1892    0.1880
       105   MinMaxScaler LightGBM                          0:00:18       0.1886    0.1880
       106   StandardScalerWrapper RandomForest             0:00:19       0.1888    0.1880
       107   MinMaxScaler ExtremeRandomTrees                0:00:21       0.1895    0.1880
       108   MinMaxScaler ExtremeRandomTrees                0:00:21       0.1888    0.1880
       109   MinMaxScaler RandomForest                      0:00:21       0.1887    0.1880
       110   StandardScalerWrapper LightGBM                 0:00:18       0.1887    0.1880
       111   StandardScalerWrapper RandomForest             0:00:24       0.1886    0.1880
       112   RobustScaler RandomForest                      0:00:21       0.1888    0.1880
       113   RobustScaler ExtremeRandomTrees                0:00:23       0.1890    0.1880
       114   StandardScalerWrapper RandomForest             0:00:20       0.1904    0.1880
       115   RobustScaler LightGBM                          0:00:18       0.1914    0.1880
       116   RobustScaler RandomForest                      0:00:19       0.1891    0.1880
       117   StandardScalerWrapper ExtremeRandomTrees       0:00:21       0.1886    0.1880
       118   RobustScaler ExtremeRandomTrees                0:00:20       0.1897    0.1880
       119   StandardScalerWrapper ExtremeRandomTrees       0:00:21       0.1885    0.1880
       120   MinMaxScaler LightGBM                          0:00:18       0.1887    0.1880
       121   StandardScalerWrapper RandomForest             0:00:18       0.1888    0.1880
       122   StandardScalerWrapper RandomForest             0:00:20       0.1896    0.1880
       123   RobustScaler ExtremeRandomTrees                0:00:22       0.1892    0.1880
       124   StandardScalerWrapper RandomForest             0:00:20       0.1889    0.1880
       125   StandardScalerWrapper LightGBM                 0:00:18       0.1899    0.1880
       126   RobustScaler ExtremeRandomTrees                0:00:22       0.1882    0.1880
       127   StandardScalerWrapper ExtremeRandomTrees       0:00:18       0.1890    0.1880
       128   MinMaxScaler RandomForest                      0:00:25       0.1894    0.1880
       129   StandardScalerWrapper RandomForest             0:00:23       0.1893    0.1880
       130   StandardScalerWrapper LightGBM                 0:00:19       0.1903    0.1880
       131   StandardScalerWrapper ExtremeRandomTrees       0:00:20       0.1895    0.1880
