Running on local machine
Parent Run ID: AutoML_24d41d9c-535a-457b-b2e4-5870b9117889

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0', Max_Horizon = '6'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 6)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:22       0.0510    0.0510
         1   MinMaxScaler DecisionTree                      0:00:24       0.0756    0.0510
         2   StandardScalerWrapper LassoLars                0:00:20       0.0802    0.0510
         3   RobustScaler ElasticNet                        0:00:21       0.0779    0.0510
         4   StandardScalerWrapper LassoLars                0:00:21       0.0813    0.0510
         5   RobustScaler ElasticNet                        0:00:22       0.0817    0.0510
         6   RobustScaler DecisionTree                      0:00:21       0.0531    0.0510
         7   MinMaxScaler DecisionTree                      0:00:23       0.1223    0.0510
         8   RobustScaler DecisionTree                      0:00:21       0.0397    0.0397
         9   MinMaxScaler DecisionTree                      0:00:21       0.0546    0.0397
        10   StandardScalerWrapper DecisionTree             0:00:21       0.0478    0.0397
        11   StandardScalerWrapper DecisionTree             0:00:20       0.0550    0.0397
        12   RobustScaler DecisionTree                      0:00:29       0.0469    0.0397
        13   RobustScaler ElasticNet                        0:00:22       0.0748    0.0397
        14   StandardScalerWrapper DecisionTree             0:00:22       0.0499    0.0397
        15   MinMaxScaler DecisionTree                      0:00:24       0.0438    0.0397
        16   MinMaxScaler DecisionTree                      0:00:21       0.0513    0.0397
        17   RobustScaler DecisionTree                      0:00:21       0.0606    0.0397
        18   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_24d41d9c-535a-457b-b2e4-5870b9117889_18/outputs/pipeline_graph.json?sv=2019-02-02&sr=b&sig=5NPGzqdbjL16%2B39Q15T2OyYzPBovyNyUXuTRG0SVsm4%3D&st=2020-09-29T10%3A55%3A47Z&se=2020-09-30T11%3A05%3A47Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
RobustScaler DecisionTree                      0:03:01       0.0472    0.0397
