WARNING - Received unrecognized parameter ensemble_download_models_timeout_sec
Running on local machine
Parent Run ID: AutoML_496c2eef-09ca-4211-804e-d17e03f8168e

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2223)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:22       0.2077    0.2077
         1   MinMaxScaler DecisionTree                      0:00:21       0.2093    0.2077
         2   StandardScalerWrapper LassoLars                0:00:24       0.2149    0.2077
         3   RobustScaler ElasticNet                        0:00:22       0.2138    0.2077
         4   StandardScalerWrapper LassoLars                0:00:21       0.2149    0.2077
         5   RobustScaler ElasticNet                        0:00:21       0.2149    0.2077
         6   RobustScaler DecisionTree                      0:00:21       0.2078    0.2077
         7   MinMaxScaler DecisionTree                      0:00:21       0.2188    0.2077
         8   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_496c2eef-09ca-4211-804e-d17e03f8168e_8/outputs/env_dependencies.json?sv=2019-02-02&sr=b&sig=VU%2B7wk3twFxQQSbYbwDWfgMbV8r2DbgrO3%2BzET6GGdk%3D&st=2020-10-04T06%3A35%3A49Z&se=2020-10-05T06%3A45%3A49Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
RobustScaler DecisionTree                      0:03:12       0.2073    0.2073
         9   MinMaxScaler DecisionTree                      0:00:21       0.2090    0.2073
        10   StandardScalerWrapper DecisionTree             0:00:22       0.2087    0.2073
        11   StandardScalerWrapper DecisionTree             0:00:22       0.2089    0.2073
        12   RobustScaler DecisionTree                      0:00:21       0.2093    0.2073
        13   RobustScaler ElasticNet                        0:00:21       0.2136    0.2073
        14   StandardScalerWrapper DecisionTree             0:00:21       0.2096    0.2073
        15   MinMaxScaler DecisionTree                      0:00:21       0.2110    0.2073
        16   MinMaxScaler DecisionTree                      0:00:21       0.2094    0.2073
        17   RobustScaler DecisionTree                      0:00:21       0.2088    0.2073
        18   RobustScaler DecisionTree                      0:00:24       0.2075    0.2073
        19   StandardScalerWrapper DecisionTree             0:00:23       0.2100    0.2073
        20   StandardScalerWrapper DecisionTree             0:00:27       0.2121    0.2073
        21   StandardScalerWrapper ExtremeRandomTrees       0:00:23       0.2064    0.2064
        22   MinMaxScaler LightGBM                          0:00:22       0.2061    0.2061
        23   MinMaxScaler DecisionTree                      0:00:22       0.2112    0.2061
        24   MinMaxScaler DecisionTree                      0:00:22       0.2080    0.2061
        25   MinMaxScaler LightGBM                          0:00:23       0.2068    0.2061
        26   StandardScalerWrapper RandomForest             0:00:23       0.2069    0.2061
        27   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.2063    0.2061
        28   RobustScaler ExtremeRandomTrees                0:00:23       0.2064    0.2061
        29   MinMaxScaler ExtremeRandomTrees                0:00:25       0.2062    0.2061
        30   StandardScalerWrapper LightGBM                 0:00:22       0.2063    0.2061
        31   StandardScalerWrapper RandomForest             0:00:23       0.2062    0.2061
        32   StandardScalerWrapper ExtremeRandomTrees       0:00:22       0.2064    0.2061
        33   RobustScaler RandomForest                      0:00:23       0.2074    0.2061
        34   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.2063    0.2061
        35   MinMaxScaler LightGBM                          0:00:22       0.2068    0.2061
        36   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.2063    0.2061
        37   RobustScaler RandomForest                      0:00:23       0.2064    0.2061
        38   RobustScaler ExtremeRandomTrees                0:00:24       0.2064    0.2061
        39   RobustScaler ExtremeRandomTrees                0:00:28       0.2064    0.2061
        40   RobustScaler LightGBM                          0:00:25       0.2067    0.2061
        41   RobustScaler RandomForest                      0:00:24       0.2066    0.2061
