WARNING - Received unrecognized parameter ensemble_download_models_timeout_sec
Running on local machine
Parent Run ID: AutoML_c8cb2de5-d10f-4fa7-9b8d-575ff074509e

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2223)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   RobustScaler LassoLars                         0:00:22       0.1307    0.1307
         1   RobustScaler DecisionTree                      0:00:16       0.1258    0.1258
         2   StandardScalerWrapper DecisionTree             0:00:31       0.1246    0.1246
         3   RobustScaler DecisionTree                      0:00:21       0.1259    0.1246
         4   StandardScalerWrapper ElasticNet               0:00:17       0.1304    0.1246
         5   MinMaxScaler DecisionTree                      0:00:17       0.1248    0.1246
         6   MinMaxScaler ElasticNet                        0:00:16       0.1306    0.1246
         7   StandardScalerWrapper DecisionTree             0:00:26       0.1245    0.1245
         8   StandardScalerWrapper DecisionTree             0:00:17       0.1258    0.1245
         9   RobustScaler DecisionTree                      0:00:21       0.1257    0.1245
        10   RobustScaler ElasticNet                        0:00:23       0.1307    0.1245
        11   RobustScaler DecisionTree                      0:00:16       0.1253    0.1245
        12   RobustScaler DecisionTree                      0:00:19       0.1253    0.1245
        13   StandardScalerWrapper DecisionTree             0:00:24       0.1248    0.1245
        14   MinMaxScaler DecisionTree                      0:00:18       0.1253    0.1245
        15   MinMaxScaler DecisionTree                      0:00:18       0.1264    0.1245
        16   RobustScaler DecisionTree                      0:00:21       0.1253    0.1245
        17   StandardScalerWrapper DecisionTree             0:00:16       0.1246    0.1245
        18   MinMaxScaler DecisionTree                      0:00:16       0.1250    0.1245
        19   StandardScalerWrapper LassoLars                0:00:16       0.1307    0.1245
        20   StandardScalerWrapper DecisionTree             0:00:17       0.1259    0.1245
        21   StandardScalerWrapper RandomForest             0:00:25       0.1231    0.1231
        22   StandardScalerWrapper GradientBoosting         0:00:52       0.1240    0.1231
        23   RobustScaler ExtremeRandomTrees                0:00:21       0.1231    0.1231
        24   MaxAbsScaler RandomForest                      0:00:35       0.1233    0.1231
        25   RobustScaler ExtremeRandomTrees                0:00:25       0.1231    0.1231
        26   MaxAbsScaler ExtremeRandomTrees                0:00:22       0.1230    0.1230
        27   MaxAbsScaler RandomForest                      0:00:26       0.1236    0.1230
        28   MinMaxScaler ExtremeRandomTrees                0:00:23       0.1237    0.1230
        29   MaxAbsScaler GradientBoosting                  0:00:44       0.1229    0.1229
        30   RobustScaler GradientBoosting                  0:00:27       0.1278    0.1229
        31   StandardScalerWrapper RandomForest             0:00:20       0.1240    0.1229
        32   MinMaxScaler ExtremeRandomTrees                0:00:28       0.1231    0.1229
        33   StandardScalerWrapper RandomForest             0:00:36       0.1250    0.1229
        34   MaxAbsScaler RandomForest                      0:00:23       0.1237    0.1229
        35   MinMaxScaler GradientBoosting                  0:02:26       0.1245    0.1229
        36   MaxAbsScaler RandomForest                      0:00:19       0.1236    0.1229
        37   RobustScaler ExtremeRandomTrees                0:00:32       0.1235    0.1229
