WARNING - Received unrecognized parameter ensemble_download_models_timeout_sec
Running on local machine
Parent Run ID: AutoML_c7e695e1-bf6e-462f-8769-b7b88ed5d61c

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2223)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:24       0.1304    0.1304
         1   MinMaxScaler DecisionTree                      0:00:22       0.1310    0.1304
         2   StandardScalerWrapper LassoLars                0:00:22       0.1325    0.1304
         3   RobustScaler ElasticNet                        0:00:21       0.1317    0.1304
         4   StandardScalerWrapper LassoLars                0:00:22       0.1325    0.1304
         5   RobustScaler ElasticNet                        0:00:22       0.1324    0.1304
         6   RobustScaler DecisionTree                      0:00:21       0.1303    0.1303
         7   MinMaxScaler DecisionTree                      0:00:22       0.1376    0.1303
         8   RobustScaler DecisionTree                      0:00:27       0.1293    0.1293
         9   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_c7e695e1-bf6e-462f-8769-b7b88ed5d61c_9/outputs/pipeline_graph.json?sv=2019-02-02&sr=b&sig=DlYQjolDZzJLV3TkdjIu4irEgodajEkg1GNTfqnp4kI%3D&st=2020-10-03T17%3A37%3A15Z&se=2020-10-04T17%3A47%3A15Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
MinMaxScaler DecisionTree                      0:02:59       0.1315    0.1293
        10   StandardScalerWrapper DecisionTree             0:00:21       0.1315    0.1293
        11   StandardScalerWrapper DecisionTree             0:00:21       0.1313    0.1293
        12   RobustScaler DecisionTree                      0:00:23       0.1326    0.1293
        13   RobustScaler ElasticNet                        0:00:22       0.1314    0.1293
        14   StandardScalerWrapper DecisionTree             0:00:27       0.1325    0.1293
        15   MinMaxScaler DecisionTree                      0:00:22       0.1326    0.1293
        16   MinMaxScaler DecisionTree                      0:00:23       0.1310    0.1293
        17   RobustScaler DecisionTree                      0:00:24       0.1311    0.1293
        18   RobustScaler DecisionTree                      0:00:24       0.1301    0.1293
        19   StandardScalerWrapper DecisionTree             0:00:22       0.1316    0.1293
        20   StandardScalerWrapper DecisionTree             0:00:22       0.1339    0.1293
        21   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.1292    0.1292
        22   MinMaxScaler LightGBM                          0:00:22       0.1289    0.1289
        23   MinMaxScaler DecisionTree                      0:00:23       0.1330    0.1289
        24   MinMaxScaler DecisionTree                      0:00:22       0.1303    0.1289
        25   MinMaxScaler LightGBM                          0:00:23       0.1289    0.1289
        26   StandardScalerWrapper RandomForest             0:00:25       0.1292    0.1289
        27   StandardScalerWrapper ExtremeRandomTrees       0:00:32       0.1289    0.1289
        28   RobustScaler ExtremeRandomTrees                0:00:25       0.1288    0.1288
        29   MinMaxScaler ExtremeRandomTrees                0:00:31       0.1290    0.1288
        30   RobustScaler ExtremeRandomTrees                0:00:24       0.1289    0.1288
        31   StandardScalerWrapper RandomForest             0:00:24       0.1291    0.1288
        32   StandardScalerWrapper ExtremeRandomTrees       0:00:30       0.1291    0.1288
        33   RobustScaler RandomForest                      0:00:24       0.1300    0.1288
        34   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.1289    0.1288
        35   MinMaxScaler ExtremeRandomTrees                0:00:24       0.1290    0.1288
        36   MinMaxScaler ExtremeRandomTrees                0:00:24       0.1290    0.1288
        37   RobustScaler RandomForest                      0:00:28       0.1300    0.1288
        38   StandardScalerWrapper ExtremeRandomTrees       0:00:26       0.1290    0.1288
        39   MinMaxScaler RandomForest                      0:00:24       0.1292    0.1288
        40   MinMaxScaler ExtremeRandomTrees                0:00:25       0.1288    0.1288
        41   RobustScaler ExtremeRandomTrees                0:00:24       0.1290    0.1288
        42   RobustScaler ExtremeRandomTrees                0:00:27       0.1297    0.1288
        43   RobustScaler ExtremeRandomTrees                0:00:31       0.1288    0.1288
        44   StandardScalerWrapper ExtremeRandomTrees       0:00:34       0.1289    0.1288
        45   RobustScaler ExtremeRandomTrees                0:00:29       0.1288    0.1288
        46   MinMaxScaler ExtremeRandomTrees                0:00:30       0.1288    0.1288
        47   RobustScaler RandomForest                      0:00:25       0.1292    0.1288
        48   RobustScaler ExtremeRandomTrees                0:00:25       0.1288    0.1288
        49   RobustScaler RandomForest                      0:00:26       0.1289    0.1288
        50   RobustScaler ExtremeRandomTrees                0:00:28       0.1289    0.1288
        51   RobustScaler ExtremeRandomTrees                0:00:29       0.1288    0.1288
        52   RobustScaler ExtremeRandomTrees                0:00:24       0.1289    0.1288
        53   StandardScalerWrapper ExtremeRandomTrees       0:00:29       0.1289    0.1288
        54   StandardScalerWrapper ExtremeRandomTrees       0:00:29       0.1288    0.1288
        55   MinMaxScaler ExtremeRandomTrees                0:00:26       0.1288    0.1288
        56   MinMaxScaler ExtremeRandomTrees                0:00:25       0.1289    0.1288
        57   MinMaxScaler ExtremeRandomTrees                0:00:25       0.1290    0.1288
        58   MinMaxScaler ExtremeRandomTrees                0:00:24       0.1290    0.1288
        59   RobustScaler ExtremeRandomTrees                0:00:24       0.1288    0.1288
        60   MinMaxScaler ExtremeRandomTrees                0:00:25       0.1287    0.1287
        61   StandardScalerWrapper RandomForest             0:00:25       0.1289    0.1287
        62   MinMaxScaler ExtremeRandomTrees                0:00:25       0.1288    0.1287
        63   MinMaxScaler ExtremeRandomTrees                0:00:27       0.1289    0.1287
        64   StandardScalerWrapper ExtremeRandomTrees       0:00:23       0.1289    0.1287
        65   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.1291    0.1287
        66   MinMaxScaler RandomForest                      0:00:26       0.1289    0.1287
        67   RobustScaler ExtremeRandomTrees                0:00:28       0.1288    0.1287
        68   MinMaxScaler DecisionTree                      0:00:23       0.1294    0.1287
        69   RobustScaler RandomForest                      0:00:26       0.1290    0.1287
        70   StandardScalerWrapper ExtremeRandomTrees       0:00:26       0.1295    0.1287
        71   RobustScaler ExtremeRandomTrees                0:00:29       0.1287    0.1287
        72   StandardScalerWrapper ExtremeRandomTrees       0:00:29       0.1290    0.1287
        73   StandardScalerWrapper ExtremeRandomTrees       0:00:30       0.1289    0.1287
        74   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.1287    0.1287
        75   RobustScaler ExtremeRandomTrees                0:00:28       0.1289    0.1287
        76   MinMaxScaler ExtremeRandomTrees                0:00:27       0.1292    0.1287
